都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1192,18834,97,12,1001,94
青   森,27,941,0,0,26,1
岩    手,0,837,0,0,0,0
宮    城,89,3422,1,0,87,1
秋  田,16,979,0,0,16,0
山    形,69,2498,1,1,68,0
福    島,82,6076,2,0,80,0
茨    城,170,5125,5,0,155,10
栃    木,66,6095,1,0,65,0
群    馬,151,4594,2,0,130,19
埼    玉,1031,29928,25,3,941,65
千    葉,924,17122,24,2,855,45
東    京,5748,65496,344,18,5084,320
神 奈 川,1428,11826,70,10,1265,93
新    潟,84,4711,2,0,81,0
富    山,227,3787,0,0,205,22
石    川,299,2863,24,2,248,27
福    井,122,3202,0,0,114,8
山    梨,72,5175,2,0,69,1
長    野,77,3105,2,0,75,-
岐    阜,156,4698,5,1,144,7
静    岡,80,3749,5,0,74,1
愛    知,521,11750,12,0,470,34
三    重,46,2705,1,0,44,1
滋    賀,101,2212,2,1,98,1
京    都,363,9418,4,0,341,18
大    阪,1806,37550,39,5,1681,86
兵    庫,700,13886,4,0,653,43
奈    良,92,3491,0,0,90,2
和 歌 山,63,3891,0,0,60,3
鳥    取,3,1445,0,0,3,0
島    根,24,1210,1,1,23,0
岡    山,25,1863,0,-,25,-
広    島,168,7568,0,0,165,3
山    口,37,2051,1,1,36,0
徳    島,5,844,0,0,4,1
香    川,28,2511,0,0,28,0
愛    媛,82,2558,4,0,74,4
高    知,74,1919,0,0,71,3
福    岡,838,15427,29,2,781,28
佐    賀,47,1592,0,0,47,0
長    崎,17,3104,0,0,16,1
熊    本,48,4164,0,0,45,3
大    分,60,4583,0,0,59,1
宮    崎,17,1509,0,0,17,0
鹿 児 島,11,2423,1,0,10,0
沖    縄,142,2986,0,0,139,7
(その他),149,-,1,-,148,-
合計,17577,347723,711,59,15911,953
