都道府県名,陽性者数 検査人数,,%
北海道,39492,709649,5.6%
青森,2417,46208,5.2%
岩手,1502,77388,1.9%
宮城,8975,147440,6.1%
秋田,760,13808,5.5%
山形,1998,60292,3.3%
福島,4643,250913,1.9%
茨城,9925,32792,30.3%
栃木,6488,268216,2.4%
群馬,7917,177391,4.5%
埼玉,44447,897578,5.0%
千葉,37750,625967,6.0%
東京,163680,2326889,7.0%
神奈川,62815,945347,6.6%
新潟,3297,149085,2.2%
富山,1922,65994,2.9%
石川,3839,101552,3.8%
福井,1054,60146,1.8%
山梨,1576,44960,3.5%
長野,4875,183346,2.7%
岐阜,9108,246608,3.7%
静岡,8629,361571,2.4%
愛知,48595,731903,6.6%
三重,5047,129213,3.9%
滋賀,5296,134269,3.9%
京都,16102,261063,6.2%
大阪,100865,1891816,5.3%
兵庫,40145,469607,8.5%
奈良,8009,154880,5.2%
和歌山,2637,40741,6.5%
鳥取,466,74560,0.6%
島根,545,27832,2.0%
岡山,7476,148791,5.0%
広島,10978,508069,2.2%
山口,2994,108624,2.8%
徳島,1636,59919,2.7%
香川,2037,79493,2.6%
愛媛,2726,89424,3.0%
高知,1600,10302,15.5%
福岡,34643,767820,4.5%
佐賀,2528,51498,4.9%
長崎,2994,114434,2.6%
熊本,6340,79571,8.0%
大分,3439,151206,2.3%
宮崎,3046,43344,7.0%
鹿児島,3497,105045,3.3%
沖縄,18499,224918,8.2%
長崎船,149,0,-
合計,759398,14251482,5.3%
