都道府県名,陽性者数 検査人数,,%
北海道,10039,171282,5.9%
青森,343,7341,4.7%
岩手,220,10219,2.2%
宮城,1311,20084,6.5%
秋田,90,3733,2.4%
山形,177,8284,2.1%
福島,541,42276,1.3%
茨城,1844,17532,10.5%
栃木,749,57242,1.3%
群馬,1401,39431,3.6%
埼玉,9411,249360,3.8%
千葉,7519,174527,4.3%
東京,44003,807999,5.4%
神奈川,13704,271058,5.1%
新潟,359,23193,1.5%
富山,462,18028,2.6%
石川,874,23296,3.8%
福井,322,15745,2.0%
山梨,422,13750,3.1%
長野,823,33920,2.4%
岐阜,1260,44187,2.9%
静岡,1960,62660,3.1%
愛知,11327,143080,7.9%
三重,957,22079,4.3%
滋賀,826,29471,2.8%
京都,2858,70273,4.1%
大阪,22735,353214,6.4%
兵庫,6440,104516,6.2%
奈良,1330,35844,3.7%
和歌山,507,14226,3.6%
鳥取,65,18380,0.4%
島根,158,7158,2.2%
岡山,666,20802,3.2%
広島,1085,39067,2.8%
山口,414,19028,2.2%
徳島,185,7934,2.3%
香川,164,18221,0.9%
愛媛,349,8560,4.1%
高知,246,4151,5.9%
福岡,6060,211871,2.9%
佐賀,341,10620,3.2%
長崎,276,28287,1.0%
熊本,1094,25208,4.3%
大分,408,30204,1.4%
宮崎,566,10583,5.3%
鹿児島,673,28667,2.3%
沖縄,4585,76441,6.0%
長崎船,149,0,-
合計,162298,3453032,4.7%
