都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1085,14000,200,11,799,86
青   森,27,850,1,0,25,1
岩    手,0,662,0,0,0,0
宮    城,88,2944,0,0,87,1
秋  田,16,933,0,0,16,0
山    形,69,2659,3,1,66,0
福    島,81,4452,6,0,75,0
茨    城,168,4628,7,0,151,10
栃    木,65,3871,16,2,49,0
群    馬,149,3655,12,1,118,19
埼    玉,1003,20735,67,5,888,48
千    葉,909,14688,57,4,807,45
東    京,5236,15005,421,28,4510,305
神 奈 川,1359,9446,197,26,1080,82
新    潟,83,4180,5,0,77,0
富    山,227,3144,16,0,189,22
石    川,298,2723,54,3,219,25
福    井,122,2631,4,1,110,8
山    梨,64,3877,4,0,59,1
⾧    野,76,2714,7,1,69,-
岐    阜,150,3610,2,1,141,7
静    岡,76,3521,3,0,72,1
愛    知,507,9970,13,0,456,34
三    重,45,2505,0,0,44,1
滋    賀,100,1856,8,1,91,1
京    都,358,7933,18,1,323,17
大    阪,1783,31156,121,16,1565,83
兵    庫,699,11128,31,5,626,42
奈    良,92,2545,2,0,88,2
和 歌 山,63,3701,3,0,57,3
鳥    取,3,1338,0,0,3,0
島    根,24,1125,1,0,22,0
岡    山,25,1705,0,-,25,-
広    島,167,6907,11,0,153,3
山    口,37,1701,2,1,35,0
徳    島,5,741,0,0,4,1
香    川,28,2187,0,0,28,0
愛    媛,82,2074,28,1,50,4
高    知,74,1793,0,0,71,3
福    岡,746,12634,100,4,620,26
佐    賀,47,1417,8,0,37,0
⾧    崎,17,2754,0,0,16,1
熊    本,48,3924,2,0,43,3
大    分,60,3988,1,0,58,1
宮    崎,17,1368,0,0,17,0
鹿 児 島,10,1859,0,0,10,0
沖    縄,142,2863,3,2,137,6
(その他),149,-,2,-,147,-
合計,16679,246100,1436,115,14333,892
