都道府県名,陽性者数 検査人数,,%
北海道,42279,818310,5.2%
青森,2572,53666,4.8%
岩手,1845,90815,2.0%
宮城,9530,166030,5.7%
秋田,972,16564,5.9%
山形,2084,68632,3.0%
福島,5171,296849,1.7%
茨城,11083,34230,32.4%
栃木,7385,316718,2.3%
群馬,8134,203483,4.0%
埼玉,49395,1023544,4.8%
千葉,43320,736849,5.9%
東京,188108,2670446,7.0%
神奈川,72653,1100250,6.6%
新潟,3566,182434,2.0%
富山,2079,77808,2.7%
石川,4189,129081,3.2%
福井,1416,74033,1.9%
山梨,2176,65656,3.3%
長野,5081,216101,2.4%
岐阜,9560,283832,3.4%
静岡,9807,429699,2.3%
愛知,51945,876763,5.9%
三重,5456,152748,3.6%
滋賀,5681,161548,3.5%
京都,17018,297264,5.7%
大阪,106484,2313597,4.6%
兵庫,41621,532968,7.8%
奈良,8575,178273,4.8%
和歌山,2730,42861,6.4%
鳥取,562,88841,0.6%
島根,576,32936,1.7%
岡山,7677,174589,4.4%
広島,11639,570271,2.0%
山口,3191,126574,2.5%
徳島,1692,68242,2.5%
香川,2129,90327,2.4%
愛媛,2788,100668,2.8%
高知,1945,58831,3.3%
福岡,36306,874980,4.1%
佐賀,2594,60178,4.3%
長崎,3264,130924,2.5%
熊本,6516,82787,7.9%
大分,3523,178116,2.0%
宮崎,3118,44922,6.9%
鹿児島,3770,114823,3.3%
沖縄,21742,266892,8.1%
長崎船,149,0,-
合計,835096,16675953,5.0%
