都道府県名,陽性者数,検査人数,%
北海道,434,3987,10.9%
青森,22,494,4.5%
岩手,0,234,0.0%
宮城,83,1203,6.9%
秋田,16,706,2.3%
山形,61,1415,4.3%
福島,62,1075,5.8%
茨城,139,3159,4.4%
栃木,46,1330,3.5%
群馬,122,1973,6.2%
埼玉,642,4618,13.9%
千葉,661,3411,18.1%
東京,3095,7726,40.1%
神奈川,784,3912,18.3%
新潟,56,2024,2.8%
富山,92,1274,7.2%
石川,178,977,18.2%
福井,112,955,11.7%
山梨,49,1435,3.4%
長野,52,1273,4.1%
岐阜,139,1892,7.3%
静岡,52,2040,2.5%
愛知,401,5175,7.7%
三重,36,1144,3.1%
滋賀,71,760,9.3%
京都,251,2565,9.8%
大阪,1212,4535,24.0%
兵庫,513,5280,9.7%
奈良,62,777,8.0%
和歌山,46,2312,2.0%
鳥取,3,543,0.6%
島根,16,680,2.4%
岡山,19,887,2.1%
広島,132,3010,4.4%
山口,30,1049,2.9%
徳島,3,336,0.9%
香川,25,967,2.6%
愛媛,45,708,6.4%
高知,68,1131,6.0%
福岡,516,6447,8.0%
佐賀,17,594,2.9%
長崎,17,1325,1.3%
熊本,39,2274,1.7%
大分,54,2426,2.2%
宮崎,17,841,2.0%
鹿児島,8,734,1.1%
沖縄,110,1213,9.1%
合計,10608,94826,10.9%
