都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1078,13329,222,12,770,86
青   森,27,845,1,0,25,1
岩    手,0,660,0,0,0,0
宮    城,88,2900,0,0,87,1
秋  田,16,933,0,0,16,0
山    形,69,2650,3,1,66,0
福    島,81,4280,7,0,74,0
茨    城,168,4628,7,0,151,10
栃    木,65,3784,16,2,49,0
群    馬,149,3609,13,1,117,19
埼    玉,1004,20623,68,6,888,48
千    葉,906,14428,57,4,804,45
東    京,5217,15005,414,31,4501,302
神 奈 川,1359,9446,197,26,1080,82
新    潟,83,4157,5,0,77,0
富    山,227,3144,18,0,187,22
石    川,298,2688,56,3,218,24
福    井,122,2596,5,1,109,8
山    梨,64,3877,4,0,59,1
長    野,76,2674,9,1,67,-
岐    阜,150,3557,2,1,141,7
静    岡,76,3505,3,0,72,1
愛    知,507,9970,15,0,453,34
三    重,45,2486,3,0,41,1
滋    賀,100,1822,8,1,91,1
京    都,358,7933,18,1,323,17
大    阪,1782,30162,148,19,1539,82
兵    庫,699,11005,33,5,625,41
奈    良,92,2545,4,0,86,2
和 歌 山,63,3669,3,0,57,3
鳥    取,3,1328,0,0,3,0
島    根,24,1107,1,0,22,0
岡    山,25,1689,0,-,25,-
広    島,167,6907,13,0,151,3
山    口,37,1679,2,1,35,0
徳    島,5,734,0,0,4,1
香    川,28,2169,0,0,28,0
愛    媛,82,2074,28,1,50,4
高    知,74,1778,1,0,70,3
福    岡,703,12276,61,4,616,26
佐    賀,47,1407,8,0,37,0
長    崎,17,2736,0,0,16,1
熊    本,48,3903,6,0,39,3
大    分,60,3963,1,0,58,1
宮    崎,17,1368,0,0,17,0
鹿 児 島,10,1859,0,0,10,0
沖    縄,142,2847,4,2,136,6
(その他),149,-,2,-,147,-
合計,16607,242734,1466,123,14237,886
