都道府県名,陽性者数,検査人数,%
北海道,495,4803,10.3%
青森,22,501,4.4%
岩手,0,256,0.0%
宮城,84,1438,5.8%
秋田,16,767,2.1%
山形,65,1759,3.7%
福島,65,1238,5.3%
茨城,151,3687,4.1%
栃木,52,1560,3.3%
群馬,131,2290,5.7%
埼玉,714,5432,13.1%
千葉,725,4284,15.9%
東京,3452,8959,38.5%
神奈川,841,4628,16.7%
新潟,61,2283,2.7%
富山,115,1633,7.0%
石川,199,1244,16.0%
福井,119,1233,9.7%
山梨,51,1813,2.8%
長野,56,1468,3.8%
岐阜,143,2197,6.5%
静岡,57,2292,2.5%
愛知,441,6033,7.3%
三重,43,1494,2.9%
滋賀,88,971,9.1%
京都,275,2906,9.5%
大阪,1382,5798,21.7%
兵庫,563,5972,9.4%
奈良,75,1071,7.0%
和歌山,49,2422,2.0%
鳥取,3,823,0.4%
島根,16,719,2.2%
岡山,19,908,2.1%
広島,139,3783,3.7%
山口,31,1144,2.7%
徳島,5,353,1.4%
香川,26,1350,1.9%
愛媛,47,938,5.0%
高知,70,1230,5.7%
福岡,560,7467,7.5%
佐賀,18,636,2.8%
長崎,16,1612,1.0%
熊本,41,2518,1.6%
大分,60,2752,2.2%
宮崎,17,965,1.8%
鹿児島,10,895,1.1%
沖縄,130,1583,8.2%
その他,34,,
合計,11772,112108,10.3%
