都道府県名,陽性者数 検査人数,,%
北海道,41875,804050,5.2%
青森,2541,52766,4.8%
岩手,1800,89320,2.0%
宮城,9332,162859,5.7%
秋田,941,16364,5.8%
山形,2067,68161,3.0%
福島,5099,291810,1.7%
茨城,10857,33967,32.0%
栃木,7252,313112,2.3%
群馬,8091,200546,4.0%
埼玉,48038,1003559,4.8%
千葉,42158,723222,5.8%
東京,182140,2619142,7.0%
神奈川,70596,1080711,6.5%
新潟,3491,178552,2.0%
富山,2059,76500,2.7%
石川,4045,126689,3.2%
福井,1393,72719,1.9%
山梨,2160,62325,3.5%
長野,5063,213755,2.4%
岐阜,9503,278405,3.4%
静岡,9616,421546,2.3%
愛知,51623,860388,6.0%
三重,5349,148938,3.6%
滋賀,5631,158701,3.5%
京都,16832,292343,5.8%
大阪,104954,2264070,4.6%
兵庫,41289,523635,7.9%
奈良,8473,175528,4.8%
和歌山,2712,42554,6.4%
鳥取,495,86141,0.6%
島根,561,32023,1.8%
岡山,7622,168599,4.5%
広島,11583,565038,2.0%
山口,3175,124469,2.6%
徳島,1666,66709,2.5%
香川,2119,88739,2.4%
愛媛,2758,98769,2.8%
高知,1898,11862,16.0%
福岡,35974,858529,4.2%
佐賀,2571,58912,4.4%
長崎,3229,128782,2.5%
熊本,6500,82540,7.9%
大分,3505,174270,2.0%
宮崎,3111,44796,6.9%
鹿児島,3740,113826,3.3%
沖縄,21377,260219,8.2%
長崎船,149,0,-
合計,819013,16320460,5.0%
