都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,945,8676,450,28,444,51
青   森,27,749,-,-,17,-
岩    手,0,417,0,0,0,0
宮    城,88,2183,7,-,80,1
秋  田,16,861,-,-,0,-
山    形,69,2449,11,-,58,-
福    島,81,2395,36,-,45,0
茨    城,168,3826,71,3,78,9
栃    木,56,2497,-,-,32,-
群    馬,147,3056,63,2,66,18
埼    玉,967,11917,377,11,548,42
千    葉,880,12290,217,12,467,40
東    京,4868,13124,2518,71,2170,180
神 奈 川,1150,1610,458,30,645,47
新    潟,82,3396,35,-,47,-
富    山,216,2709,126,-,77,13
石    川,278,2237,130,-,132,16
福    井,122,2082,0,2,94,8
山    梨,56,2806,8,1,48,0
長    野,74,2054,37,2,37,-
岐    阜,150,3482,22,1,122,6
静    岡,73,3102,26,2,46,1
愛    知,494,8133,107,-,350,34
三    重,45,2154,11,0,33,1
滋    賀,97,1456,30,-,66,1
京    都,347,5267,107,-,227,13
大    阪,1743,21629,641,50,1031,59
兵    庫,688,9091,168,24,486,34
奈    良,90,2035,21,-,67,2
和 歌 山,62,3364,12,-,48,2
鳥    取,3,1167,2,-,1,0
島    根,24,904,-,-,11,-
岡    山,24,1372,8,-,15,-
広    島,165,5746,81,-,82,2
山    口,37,1528,4,-,33,-
徳    島,5,597,-,-,3,1
香    川,28,1841,8,0,20,0
愛    媛,48,1238,7,2,38,3
高    知,74,1583,7,0,64,3
福    岡,654,10535,162,-,468,24
佐    賀,45,1226,21,1,22,0
長    崎,17,2345,2,0,14,1
熊    本,48,3415,27,2,18,3
大    分,60,3482,-,-,52,1
宮    崎,17,1213,5,-,12,-
鹿 児 島,11,1500,-,-,8,-
沖    縄,142,2483,45,5,92,5
(その他),149,623,6,-,0,-
合計,15630,183845,6074,249,8514,621
