都道府県名,陽性者数 検査人数,,%
北海道,945,8676,10.9%
青森,27,749,3.6%
岩手,0,417,0.0%
宮城,88,2183,4.0%
秋田,16,861,1.9%
山形,69,2449,2.8%
福島,81,2395,3.4%
茨城,168,3826,4.4%
栃木,56,2497,2.2%
群馬,147,3056,4.8%
埼玉,967,11917,8.1%
千葉,880,12290,7.2%
東京,4868,13124,37.1%
神奈川,1171,1610,12.9%
新潟,82,3396,2.4%
富山,216,2709,8.0%
石川,278,2237,12.4%
福井,122,2082,5.9%
山梨,56,2806,2.0%
長野,74,2054,3.6%
岐阜,150,3482,4.3%
静岡,73,3102,2.4%
愛知,494,8133,6.1%
三重,45,2154,2.1%
滋賀,97,1456,6.7%
京都,347,5267,6.6%
大阪,1743,21629,8.1%
兵庫,688,9091,7.6%
奈良,90,2035,4.4%
和歌山,62,3364,1.8%
鳥取,3,1167,0.3%
島根,24,904,2.7%
岡山,24,1372,1.7%
広島,165,5746,2.9%
山口,37,1528,2.4%
徳島,5,597,0.8%
香川,28,1841,1.5%
愛媛,48,1238,3.9%
高知,74,1583,4.7%
福岡,654,10535,6.2%
佐賀,45,1226,3.7%
長崎,17,2345,0.7%
熊本,48,3415,1.4%
大分,60,3482,1.7%
宮崎,17,1213,1.4%
鹿児島,11,1500,0.7%
沖縄,142,2483,5.7%
その他,149,623,23.9%
合計,15651,183845,8.0%
