都道府県名,陽性者数 検査人数,,%
北海道,1860,48825,3.8%
青森,35,2206,1.6%
岩手,23,3610,0.6%
宮城,275,8697,3.2%
秋田,50,1855,2.7%
山形,78,3144,2.5%
福島,200,16678,1.2%
茨城,606,11550,5.2%
栃木,328,25401,1.3%
群馬,517,16854,3.1%
埼玉,4227,123181,3.4%
千葉,3339,65505,5.1%
東京,22631,377119,6.0%
神奈川,5823,128296,4.5%
新潟,147,13774,1.1%
富山,408,10832,3.8%
石川,724,10349,7.0%
福井,244,9155,2.7%
山梨,179,9977,1.8%
長野,296,17030,1.7%
岐阜,574,19579,2.9%
静岡,504,29710,1.7%
愛知,4787,61474,7.8%
三重,450,11057,4.1%
滋賀,468,10406,4.5%
京都,1607,35638,4.5%
大阪,9444,155589,6.1%
兵庫,2421,48797,5.0%
奈良,544,18233,3.0%
和歌山,236,8875,2.7%
鳥取,22,4615,0.5%
島根,137,5172,2.6%
岡山,146,7511,1.9%
広島,464,18642,2.5%
山口,194,7913,2.5%
徳島,146,6549,2.2%
香川,87,9222,0.9%
愛媛,114,3921,2.9%
高知,137,3286,4.2%
福岡,4893,43896,11.1%
佐賀,244,5470,4.5%
長崎,234,16260,1.4%
熊本,564,12740,4.4%
大分,158,14312,1.1%
宮崎,339,8279,4.1%
鹿児島,372,17075,2.2%
沖縄,2269,31139,7.3%
長崎船,149,0,-
合計,73694,1519398,4.9%
