都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1860,48825,75,2,1679,106
青 森,35,2206,2,0,32,1
岩手,23,3610,4,0,19,0
宮城,275,8697,62,0,211,2
秋  田,50,1855,1,0,49,0
山形,78,3144,2,1,76,1
福島,200,16678,51,2,149,0
茨城,606,11550,58,3,534,14
栃木,328,25401,19,2,302,1
群馬,517,16854,73,0,425,19
埼玉,4227,123181,295,9,3835,97
千葉,3339,65505,284,8,2989,66
東京,22631,377119,2232,24,20019,380
神奈川,5823,128296,676,32,5021,126
新潟,147,13774,6,1,141,0
富山,408,10832,21,0,364,25
石川,724,10349,87,0,595,42
福井,244,9155,50,4,184,8
山梨,179,9977,10,1,164,5
長野,296,17030,26,1,272,1
岐阜,574,19579,19,2,545,10
静岡,504,29710,23,2,480,1
愛知,4787,61474,403,17,4310,74
三重,450,11057,79,2,367,4
滋賀,468,10406,36,1,425,7
京都,1607,35638,108,2,1474,25
大阪,9444,155589,807,35,8454,175
兵庫,2421,48797,127,7,2240,54
奈良,544,18233,29,2,507,8
和歌山,236,8875,4,0,225,4
鳥取,22,4615,0,0,22,0
島根,137,5172,0,0,137,0
岡山,146,7511,1,-,145,-
広島,464,18642,11,0,450,3
山口,194,7913,42,1,151,1
徳島,146,6549,46,3,89,8
香川,87,9222,12,0,73,2
愛媛,114,3921,1,0,107,6
高知,137,3286,10,1,124,3
福岡,4893,43896,578,16,4238,77
佐賀,244,5470,6,0,238,0
長崎,234,16260,9,0,219,3
熊本,564,12740,35,0,509,8
大分,158,14312,15,0,141,2
宮崎,339,8279,10,0,329,1
鹿児島,372,17075,17,1,343,11
沖縄,2269,31139,222,8,2010,41
(その他),149,-,0,-,149,-
合計,73694,1519398,6684,190,65561,1422
