都道府県名,陽性者数 検査人数,,%
北海道,2075,56568,3.7%
青森,36,2414,1.5%
,23,4168,0.6%
宮城,397,10218,3.9%
秋田,53,2131,2.5%
山形,78,5149,1.5%
福島,251,19863,1.3%
茨城,652,12436,5.2%
栃木,428,30149,1.4%
群馬,699,20615,3.4%
埼玉,4624,142930,3.2%
千葉,3862,87562,4.4%
東京,25547,449937,5.7%
神奈川,6819,151103,4.5%
新潟,170,15290,1.1%
富山,417,12090,3.4%
石川,776,12853,6.0%
福井,244,9734,2.5%
山梨,183,10602,1.7%
長野,305,18821,1.6%
岐阜,623,22525,2.8%
静岡,534,34154,1.6%
,5309,75800,7.0%
三重,502,12476,4.0%
滋賀,501,11797,4.2%
京都,1739,41975,4.1%
大阪,10534,182508,5.8%
,2684,55781,4.8%
奈良,568,20292,2.8%
和歌山,241,9256,2.6%
鳥取,36,5453,0.7%
島根,140,5734,2.4%
岡山,154,8110,1.9%
広島,548,20707,2.6%
山口,201,9714,2.1%
徳島,147,6884,2.1%
香川,93,10637,0.9%
愛媛,114,4060,2.8%
高知,138,3463,4.0%
福岡,5028,130848,3.8%
佐賀,245,5935,4.1%
長崎,236,18248,1.3%
熊本,573,16349,3.5%
大分,158,16725,0.9%
宮崎,344,8572,4.0%
鹿児島,415,18871,2.2%
沖縄,2460,38566,6.4%
長崎船,149,0,-
合計,82053,1870073,4.4%
