都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,999,10183,366,18,560,73
青   森,27,800,5,0,21,0
岩    手,0,465,0,0,0,0
宮    城,88,2511,3,0,84,1
秋  田,16,905,1,0,15,0
山    形,69,2552,11,2,58,0
福    島,81,3047,18,2,63,0
茨    城,168,4202,30,1,111,9
栃    木,60,2844,18,5,40,0
群    馬,147,3268,36,1,93,18
埼    玉,984,15430,196,8,742,46
千    葉,898,12529,204,11,649,42
東    京,5050,14010,1346,55,3474,230
神 奈 川,1251,9756,379,34,809,63
新    潟,83,3710,22,0,60,0
富    山,225,2915,51,2,156,18
石    川,286,2448,95,3,170,21
福    井,122,2297,12,2,102,8
山    梨,57,3205,6,1,51,0
長    野,76,2324,24,2,52,-
岐    阜,150,3039,9,1,134,7
静    岡,73,3282,6,2,66,1
愛    知,503,8896,65,2,400,34
三    重,45,2335,7,0,37,1
滋    賀,99,1582,20,1,78,1
京    都,358,6285,62,1,283,13
大    阪,1768,18932,424,39,1265,70
兵    庫,698,9932,101,19,559,38
奈    良,90,2383,11,0,77,2
和 歌 山,63,3504,8,0,52,3
鳥    取,3,1237,2,0,1,0
島    根,24,979,8,1,16,0
岡    山,25,1536,2,-,23,-
広    島,165,6320,50,1,113,2
山    口,37,1598,4,1,33,0
徳    島,5,663,0,0,4,1
香    川,28,1962,2,0,26,0
愛    媛,70,1441,26,0,41,3
高    知,74,1624,5,0,66,3
福    岡,657,12485,94,10,538,25
佐    賀,47,1310,16,0,29,0
長    崎,17,2535,1,0,15,1
熊    本,48,3656,14,1,31,3
大    分,60,3668,3,0,56,1
宮    崎,17,1290,3,0,14,0
鹿 児 島,10,1599,3,0,7,0
沖    縄,142,2693,12,4,124,6
(その他),149,623,6,-,0,-
合計,16112,206790,3787,230,11398,744
