都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,18578,354325,825,16,17157,642
青森,810,16832,72,1,721,17
岩手,530,22688,19,1,482,29
宮城,3513,49755,79,5,3411,23
秋田,269,6948,17,0,246,6
山形,534,16641,26,0,493,15
福島,1842,99503,120,8,1658,64
茨城,5411,24547,367,15,4945,99
栃木,3981,118415,189,8,3732,60
群馬,4296,85897,237,6,3978,81
埼玉,27971,512823,2167,47,25321,483
千葉,24865,375700,2378,24,22127,360
東京,107959,1446004,4611,92,102184,1164
神奈川,43468,554397,1355,33,41504,609
新潟,1011,40854,75,1,922,14
富山,892,34172,20,3,845,27
石川,1714,46541,237,3,1474,60
福井,531,29374,19,2,487,25
山梨,929,23510,18,1,895,16
長野,2349,93037,35,0,2305,41
岐阜,4616,122570,261,9,4259,96
静岡,4870,170779,149,1,4629,92
愛知,25247,362781,1173,35,23592,482
三重,2408,56417,160,11,2202,46
滋賀,2332,65277,147,4,2145,40
京都,8923,146640,539,5,8258,147
大阪,46114,729496,1689,133,42918,1067
兵庫,17540,229485,724,58,16333,483
奈良,3285,76800,134,4,3108,43
和歌山,1153,23945,47,6,1065,17
鳥取,207,38087,8,0,194,2
島根,280,14340,6,1,274,0
岡山,2454,60138,96,5,2300,26
広島,4961,139356,110,6,4742,99
山口,1361,52858,129,1,1197,35
徳島,434,24327,48,1,371,15
香川,726,41803,46,1,662,18
愛媛,1029,29650,38,1,969,22
高知,882,7052,20,1,845,17
福岡,17442,414011,1177,33,16024,241
佐賀,995,26279,31,1,979,6
長崎,1585,63696,90,3,1460,36
熊本,3418,55943,78,13,3252,70
大分,1267,73713,73,0,1176,18
宮崎,1937,24572,68,1,1841,21
鹿児島,1738,63634,89,5,1637,22
沖縄,8008,138879,335,2,7574,104
(その他),149,-,0,-,149,-
合計,416814,7204491,20331,607,389042,7100
