都道府県名,陽性者数 検査人数,,%
北海道,42095,813171,5.2%
青森,2561,53400,4.8%
岩手,1826,90109,2.0%
宮城,9448,164771,5.7%
秋田,955,16461,5.8%
山形,2075,68524,3.0%
福島,5141,294879,1.7%
茨城,10978,34183,32.1%
栃木,7311,315229,2.3%
群馬,8113,202894,4.0%
埼玉,48788,1016085,4.8%
千葉,42799,730704,5.9%
東京,185427,2652387,7.0%
神奈川,71668,1095923,6.5%
新潟,3534,181063,2.0%
富山,2072,77537,2.7%
石川,4115,127859,3.2%
福井,1409,73841,1.9%
山梨,2175,62325,3.5%
長野,5071,215578,2.4%
岐阜,9536,281983,3.4%
静岡,9742,427835,2.3%
愛知,51806,872844,5.9%
三重,5403,148938,3.6%
滋賀,5662,160382,3.5%
京都,16928,295377,5.7%
大阪,105850,2289605,4.6%
兵庫,41463,529482,7.8%
奈良,8536,177590,4.8%
和歌山,2722,42713,6.4%
鳥取,521,87294,0.6%
島根,565,32936,1.7%
岡山,7657,168599,4.5%
広島,11612,568107,2.0%
山口,3181,126574,2.5%
徳島,1675,67657,2.5%
香川,2124,89695,2.4%
愛媛,2777,98925,2.8%
高知,1923,58744,3.3%
福岡,36189,869325,4.2%
佐賀,2581,59733,4.3%
長崎,3244,130125,2.5%
熊本,6508,82659,7.9%
大分,3514,176734,2.0%
宮崎,3118,44910,6.9%
鹿児島,3753,114372,3.3%
沖縄,21585,265983,8.1%
長崎船,149,0,-
合計,827885,16556044,5.0%
