都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,39759,714240,5747,39,33003,1225
青森,2436,46908,131,4,2275,30
岩手,1516,77907,90,0,1380,46
宮城,8986,148342,179,8,8717,84
秋田,760,14010,19,1,723,18
山形,2000,61390,87,4,1868,45
福島,4662,253131,152,6,4357,153
茨城,9963,32844,291,8,9517,155
栃木,6537,268857,240,9,6218,79
群馬,7934,180183,197,13,7591,146
埼玉,44574,904088,1188,40,42581,805
千葉,37899,633625,918,21,36289,692
東京,164284,2347452,3771,60,158392,2121
神奈川,63167,959267,1836,60,60418,913
新潟,3305,151272,175,5,3090,40
富山,1936,67184,124,8,1775,37
石川,3851,102281,210,5,3529,109
福井,1055,60805,21,0,1000,34
山梨,1684,44960,158,1,1506,20
長野,4886,187215,150,3,4720,87
岐阜,9156,249584,534,21,8451,171
静岡,8683,368461,449,6,8093,141
愛知,48860,746876,3603,85,44406,851
三重,5072,129213,270,10,4829,107
滋賀,5328,136854,353,11,4893,82
京都,16156,261871,480,20,15409,223
大阪,101123,1904431,6740,279,91014,2457
兵庫,40225,473087,970,72,38027,1237
奈良,8026,156947,208,11,7699,119
和歌山,2640,40854,39,11,2501,45
鳥取,466,75015,15,0,442,2
島根,547,27832,35,3,512,0
岡山,7496,148791,578,18,6712,114
広島,11048,513008,537,20,10124,145
山口,3019,108624,226,4,2724,69
徳島,1636,60389,20,0,1553,63
香川,2042,79728,79,5,1942,26
愛媛,2732,89562,40,4,2617,75
高知,1617,10412,164,12,1432,21
福岡,34727,773673,2579,62,31609,484
佐賀,2533,51818,68,2,2474,22
長崎,3013,115453,161,1,2784,68
熊本,6354,79650,301,15,5945,108
大分,3443,152948,158,4,3227,58
宮崎,3048,43464,40,2,2972,26
鹿児島,3518,105703,240,2,3265,32
沖縄,18762,228548,2497,80,16117,154
(その他),149,-,0,-,149,-
合計,762613,14388757,37068,1055,710871,13739
