都道府県名,陽性者数 検査人数,,%
北海道,41371,781043,5.3%
青森,2502,50832,4.9%
岩手,1681,86220,1.9%
宮城,9140,157217,5.8%
秋田,890,15522,5.7%
山形,2020,65878,3.1%
福島,4905,281414,1.7%
茨城,10571,33416,31.6%
栃木,7052,303886,2.3%
群馬,8037,194467,4.1%
埼玉,46579,970890,4.8%
千葉,40442,691856,5.8%
東京,174607,2528074,6.9%
神奈川,67602,1043286,6.5%
新潟,3403,171964,2.0%
富山,2042,74213,2.8%
石川,3935,123028,3.2%
福井,1300,69296,1.9%
山梨,2101,54750,3.8%
長野,5037,207555,2.4%
岐阜,9447,271006,3.5%
静岡,9347,406370,2.3%
愛知,51024,832336,6.1%
三重,5262,142045,3.7%
滋賀,5559,151955,3.7%
京都,16610,283780,5.9%
大阪,103491,2159967,4.8%
兵庫,40919,508625,8.0%
奈良,8345,169824,4.9%
和歌山,2689,41938,6.4%
鳥取,481,83458,0.6%
島根,553,31436,1.8%
岡山,7591,162012,4.7%
広島,11502,548898,2.1%
山口,3145,122050,2.6%
徳島,1656,65083,2.5%
香川,2097,86095,2.4%
愛媛,2754,95457,2.9%
高知,1831,11460,16.0%
福岡,35551,833367,4.3%
佐賀,2561,57035,4.5%
長崎,3197,125309,2.6%
熊本,6485,82099,7.9%
大分,3492,168943,2.1%
宮崎,3094,44396,7.0%
鹿児島,3678,111258,3.3%
沖縄,20846,251775,8.3%
長崎船,149,0,-
合計,798573,15752784,5.1%
