都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41371,781043,956,28,39105,1400
青森,2502,50832,51,0,2420,31
岩手,1681,86220,47,2,1588,46
宮城,9140,157217,70,3,8974,90
秋田,890,15522,108,1,762,20
山形,2020,65878,10,1,1963,47
福島,4905,281414,125,3,4619,161
茨城,10571,33416,260,4,10146,165
栃木,7052,303886,240,9,6731,81
群馬,8037,194467,46,6,7839,152
埼玉,46579,970890,1155,16,44592,832
千葉,40442,691856,1077,18,38659,706
東京,174607,2528074,4605,51,167766,2236
神奈川,67602,1043286,1810,39,64843,949
新潟,3403,171964,33,2,3318,52
富山,2042,74213,38,1,1966,38
石川,3935,123028,24,0,3792,115
福井,1300,69296,162,0,1103,35
山梨,2101,54750,97,1,1984,21
長野,5037,207555,59,0,4962,91
岐阜,9447,271006,81,3,9179,187
静岡,9347,406370,308,7,8889,150
愛知,51024,832336,872,26,49190,962
三重,5262,142045,80,4,5209,112
滋賀,5559,151955,79,5,5390,90
京都,16610,283780,136,9,16217,243
大阪,103491,2159967,1199,144,98820,2677
兵庫,40919,508625,233,14,39379,1308
奈良,8345,169824,197,3,8017,131
和歌山,2689,41938,26,1,2556,49
鳥取,481,83458,15,0,456,2
島根,553,31436,3,1,549,1
岡山,7591,162012,72,8,7385,126
広島,11502,548898,123,13,11186,175
山口,3145,122050,58,2,3010,77
徳島,1656,65083,3,0,1590,63
香川,2097,86095,20,0,2051,31
愛媛,2754,95457,7,3,2672,75
高知,1831,11460,93,9,1713,25
福岡,35551,833367,389,14,34616,520
佐賀,2561,57035,14,0,2553,24
長崎,3197,125309,86,0,3043,69
熊本,6485,82099,62,5,6306,117
大分,3492,168943,21,0,3408,63
宮崎,3094,44396,17,0,3027,27
鹿児島,3678,111258,45,1,3629,38
沖縄,20846,251775,1037,54,19628,187
(その他),149,-,0,-,149,-
合計,798573,15752784,16249,511,766949,14797
