都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1006,10485,343,17,589,74
青   森,27,800,5,0,21,0
岩    手,0,465,0,0,0,0
宮    城,88,2511,1,0,85,1
秋  田,16,905,1,0,15,0
山    形,69,2560,11,2,58,0
福    島,81,2827,15,2,66,0
茨    城,168,4202,29,1,130,9
栃    木,60,2888,18,5,40,0
群    馬,147,3284,35,1,94,18
埼    玉,988,15507,192,8,750,46
千    葉,898,12773,203,11,650,42
東    京,5055,14010,1306,54,3512,237
神 奈 川,1251,7931,379,34,809,63
新    潟,83,3710,22,0,60,0
富    山,225,2935,51,2,156,18
石    川,287,2448,89,3,177,21
福    井,122,2297,12,2,102,8
山    梨,57,3205,6,1,51,0
⾧    野,76,2324,24,2,52,-
岐    阜,150,3059,9,1,134,7
静    岡,73,3290,6,2,66,1
愛    知,504,8963,63,2,404,34
三    重,45,2347,6,0,38,1
滋    賀,99,1596,20,1,78,1
京    都,358,6285,62,1,283,13
大    阪,1768,25638,408,39,1281,70
兵    庫,699,10062,96,17,565,38
奈    良,90,2383,9,0,79,2
和 歌 山,63,3529,8,0,52,3
鳥    取,3,1247,2,0,1,0
島    根,24,993,8,1,16,0
岡    山,25,1555,2,-,23,-
広    島,165,6320,50,1,113,2
山    口,37,1598,4,1,33,0
徳    島,5,669,0,0,4,1
香    川,28,1983,1,0,27,0
愛    媛,71,1600,25,2,43,3
高    知,74,1681,4,0,67,3
福    岡,657,11443,89,10,543,25
佐    賀,47,1317,15,0,30,0
⾧    崎,17,2552,1,0,15,1
熊    本,48,3725,10,1,35,0
大    分,60,3677,3,0,56,1
宮    崎,17,1290,3,0,14,0
鹿 児 島,10,1616,3,0,7,0
沖    縄,142,2724,13,4,123,6
(その他),149,623,5,-,0,-
合計,16132,211832,3667,228,11547,749
