都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,17840,330654,1250,11,15981,612
青森,736,13540,60,1,663,13
岩手,509,20679,24,1,456,29
宮城,3440,48777,189,8,3229,22
秋田,267,6741,43,0,221,3
山形,516,15497,61,2,442,13
福島,1759,89071,191,12,1516,52
茨城,4978,23626,583,15,4324,71
栃木,3830,109271,348,17,3433,49
群馬,4022,78273,399,14,3551,72
埼玉,26091,471071,3711,67,21994,386
千葉,23150,338727,4536,45,18334,280
東京,102200,1356692,9116,115,92110,974
神奈川,41628,513676,2491,97,38624,513
新潟,941,37633,106,2,823,12
富山,876,32089,31,2,818,27
石川,1494,42124,89,3,1358,58
福井,519,27716,54,4,445,20
山梨,907,14741,27,3,865,15
長野,2319,85788,125,1,2185,39
岐阜,4347,108699,389,11,3885,73
静岡,4672,152937,411,2,4179,82
愛知,24316,330276,2140,62,21756,420
三重,2285,46585,328,12,1924,33
滋賀,2200,60561,251,6,1916,33
京都,8609,136005,1046,15,7513,125
大阪,44562,670804,3786,166,39811,965
兵庫,16782,209193,1511,65,14841,430
奈良,3148,71540,280,4,2827,41
和歌山,1091,22310,82,9,973,15
鳥取,204,35796,21,1,178,2
島根,273,12166,22,0,251,0
岡山,2375,51686,252,10,2013,20
広島,4856,120841,269,8,4475,94
山口,1279,49814,251,0,998,24
徳島,392,22592,40,3,337,15
香川,678,38795,160,1,502,16
愛媛,1000,25725,82,2,897,21
高知,852,6949,28,4,810,14
福岡,16434,381862,1924,40,14310,200
佐賀,970,24461,79,1,903,6
長崎,1540,58931,219,3,1292,32
熊本,3368,54519,175,18,3052,63
大分,1206,66669,154,2,1034,18
宮崎,1873,23910,167,4,1699,20
鹿児島,1640,57727,155,2,1485,19
沖縄,7749,129649,676,6,6986,92
(その他),149,-,0,-,149,-
合計,396872,6627388,38332,877,352368,6133
