都道府県名,陽性者数 検査人数,,%
北海道,2058,56243,3.7%
青森,36,2378,1.5%
岩手,23,4163,0.6%
宮城,392,10190,3.8%
秋田,53,2121,2.5%
山形,78,5127,1.5%
福島,251,19800,1.3%
茨城,649,12424,5.2%
栃木,427,29943,1.4%
群馬,699,20337,3.4%
埼玉,4600,140657,3.3%
千葉,3822,86970,4.4%
東京,25335,443207,5.7%
神奈川,6760,149564,4.5%
新潟,170,15140,1.1%
富山,412,11696,3.5%
石川,776,12580,6.2%
福井,244,9692,2.5%
山梨,182,10581,1.7%
長野,305,18662,1.6%
岐阜,622,22211,2.8%
静岡,532,33644,1.6%
愛知,5290,74449,7.1%
三重,495,12325,4.0%
滋賀,495,11641,4.3%
京都,1731,41742,4.1%
大阪,10483,180249,5.8%
兵庫,2674,55275,4.8%
奈良,567,20290,2.8%
和歌山,240,9244,2.6%
鳥取,36,5428,0.7%
島根,140,5652,2.5%
岡山,154,8110,1.9%
広島,533,20619,2.6%
山口,198,9601,2.1%
徳島,147,6875,2.1%
香川,93,10520,0.9%
愛媛,114,4049,2.8%
高知,138,3459,4.0%
福岡,5027,47195,10.7%
佐賀,245,5874,4.2%
長崎,236,18085,1.3%
熊本,572,16338,3.5%
大分,158,16449,1.0%
宮崎,344,8560,4.0%
鹿児島,411,18752,2.2%
沖縄,2441,38286,6.4%
長崎船,149,0,-
合計,81537,1766397,4.6%
