都道府県名,陽性者数 検査人数,,%
北海道,41332,778133,5.3%
青森,2500,50658,4.9%
岩手,1679,84552,2.0%
宮城,9126,156789,5.8%
秋田,875,15407,5.7%
山形,2020,65771,3.1%
福島,4882,280067,1.7%
茨城,10544,33327,31.6%
栃木,7025,285654,2.5%
群馬,8036,193902,4.1%
埼玉,46437,967815,4.8%
千葉,40303,688097,5.9%
東京,173934,2518672,6.9%
神奈川,67391,1038921,6.5%
新潟,3401,171383,2.0%
富山,2041,73750,2.8%
石川,3931,122486,3.2%
福井,1288,69094,1.9%
山梨,2097,54750,3.8%
長野,5036,206945,2.4%
岐阜,9442,270196,3.5%
静岡,9312,404302,2.3%
愛知,50971,828894,6.1%
三重,5257,142045,3.7%
滋賀,5555,151668,3.7%
京都,16601,282817,5.9%
大阪,103383,2150465,4.8%
兵庫,40892,506773,8.1%
奈良,8338,169112,4.9%
和歌山,2683,41829,6.4%
鳥取,480,83171,0.6%
島根,553,29812,1.9%
岡山,7588,162012,4.7%
広島,11494,548898,2.1%
山口,3141,122050,2.6%
徳島,1656,64889,2.6%
香川,2097,85790,2.4%
愛媛,2754,95454,2.9%
高知,1824,11449,15.9%
福岡,35525,830905,4.3%
佐賀,2555,56801,4.5%
長崎,3185,124663,2.6%
熊本,6484,81956,7.9%
大分,3491,168435,2.1%
宮崎,3090,44225,7.0%
鹿児島,3674,111084,3.3%
沖縄,20783,249853,8.3%
長崎船,149,0,-
合計,796835,15675721,5.1%
