都道府県名,陽性者数,検査人数,備考
北海道,118,1069,
青森県,0,58,
岩手県,0,20,
宮城県,1,94,
秋田県,2,40,
山形県,0,96,
福島県,1,93,
茨城県,0,302,
栃木県,2,170,
群馬県,1,81,
埼玉県,12,264,
千葉県,25,559,3/11未確定
東京都,79,922,3/11未確定
神奈川県,43,,
新潟県,11,,
富山県,0,44,
石川県,7,134,
福井県,0,71,
山梨県,2,236,
長野県,3,231,
岐阜県,2,201,
静岡県,2,,
愛知県,104,274,3/11未確定
三重県,2,155,
滋賀県,1,88,
京都府,15,440,3/11未確定
大阪府,81,,
兵庫県,35,443,3/11未確定
奈良県,8,102,
和歌山県,14,982,
鳥取県,0,82,
島根県,0,64,
岡山県,0,125,
広島県,1,290,3/11未確定
山口県,3,113,
徳島県,1,62,
香川県,0,88,
愛媛県,2,149,
高知県,12,157,
福岡県,3,492,
佐賀県,0,47,3/11未確定
長崎県,0,133,
熊本県,6,,
大分県,1,137,
宮崎県,1,78,3/11未確定
鹿児島県,0,,
沖縄県,3,190,
合計,604,9376,
