都道府県名,陽性者数 検査人数,,%
北海道,3055,81092,3.8%
青森,227,4905,4.6%
,27,5309,0.5%
宮城,700,14012,5.0%
秋田,63,2487,2.5%
山形,86,6112,1.4%
福島,388,29196,1.3%
茨城,768,13826,5.6%
栃木,489,42067,1.2%
群馬,900,29312,3.1%
埼玉,5856,184967,3.2%
千葉,5034,126729,4.0%
東京,31096,598993,5.2%
神奈川,8711,199811,4.4%
新潟,184,17765,1.0%
富山,423,14487,2.9%
石川,810,17272,4.7%
福井,257,11058,2.3%
山梨,212,11693,1.8%
⾧野,341,23025,1.5%
岐阜,686,26934,2.5%
静岡,636,42455,1.5%
,6130,98303,6.2%
三重,565,15683,3.6%
滋賀,552,14455,3.8%
京都,2014,52347,3.8%
大阪,12753,236613,5.4%
,3222,68579,4.7%
奈良,648,24620,2.6%
和歌山,275,10428,2.6%
鳥取,38,5770,0.7%
島根,141,6271,2.2%
岡山,286,11198,2.6%
広島,659,27466,2.4%
山口,213,11915,1.8%
徳島,164,7477,2.2%
香川,101,13518,0.7%
愛媛,116,4371,2.7%
高知,144,3644,4.0%
,5226,164668,3.2%
佐賀,254,7081,3.6%
⾧崎,244,22417,1.1%
熊本,786,19224,4.1%
大分,159,20960,0.8%
宮崎,367,8791,4.2%
鹿児島,468,22179,2.1%
沖縄,3336,57775,5.8%
⾧崎船,149,0,-
合計,99959,2439260,4.1%
