都道府県名,陽性者数,検査人数,%
滋賀県,51,599,8.5%
京都府,210,2275,9.2%
大阪府,895,3140,28.5%
兵庫県,403,4403,9.2%
奈良県,47,641,7.3%
和歌山県,35,2119,1.7%
鳥取県,1,432,0.2%
島根県,10,442,2.3%
岡山県,16,688,2.3%
広島県,66,2276,2.9%
山口県,25,738,3.4%
徳島県,3,248,1.2%
香川県,20,637,3.1%
愛媛県,39,653,6.0%
高知県,60,935,6.4%
福岡県,403,5195,7.8%
佐賀県,15,422,3.6%
長崎県,14,1142,1.2%
熊本県,29,1944,1.5%
大分県,43,2172,2.0%
宮崎県,17,733,2.3%
鹿児島県,4,628,0.6%
沖縄県,76,856,8.9%
合計,7964,76425,10.4%
北海道,279,3297,8.5%
青森県,22,410,5.4%
岩手県,0,170,0.0%
宮城県,64,852,7.5%
秋田県,16,603,2.7%
山形県,39,1055,3.7%
福島県,39,706,5.5%
茨城県,116,2719,4.3%
栃木県,38,1121,3.4%
群馬県,97,1787,5.4%
埼玉県,433,3056,14.2%
千葉県,490,2447,20.0%
東京都,2332,6563,35.5%
神奈川県,594,3306,18.0%
新潟県,45,1787,2.5%
富山県,54,956,5.6%
石川県,131,778,16.8%
福井県,92,765,12.0%
山梨県,36,1205,3.0%
長野県,35,1106,3.2%
岐阜県,127,1519,8.4%
静岡県,46,1647,2.8%
愛知県,338,4250,8.0%
三重県,19,1002,1.9%
