都道府県名,陽性者数,検査人数,%
北海道,790,7054,11.2%
青森,26,643,4.0%
岩手,0,343,0.0%
宮城,88,1910,4.6%
秋田,16,852,1.9%
山形,68,2246,3.0%
福島,74,1844,4.0%
茨城,165,4835,3.4%
栃木,54,2015,2.7%
群馬,146,1654,8.8%
埼玉,857,8050,10.6%
千葉,816,6374,12.1%
東京,4331,11254,38.5%
神奈川,1042,6002,16.2%
新潟,77,3044,2.5%
富山,201,2392,8.4%
石川,254,1977,12.8%
福井,122,1771,6.9%
山梨,54,2358,2.3%
長野,66,1818,3.6%
岐阜,149,2404,6.2%
静岡,73,2780,2.6%
愛知,491,7403,6.6%
三重,45,1938,2.3%
滋賀,96,1314,7.3%
京都,323,4343,7.4%
大阪,1641,12492,12.1%
兵庫,650,7621,8.5%
奈良,85,1605,5.3%
和歌山,62,3077,2.0%
鳥取,3,1603,0.2%
島根,23,830,2.8%
岡山,23,1131,2.0%
広島,156,5021,3.1%
山口,34,1290,2.6%
徳島,5,469,1.1%
香川,28,1643,1.7%
愛媛,47,1116,4.2%
高知,74,1446,5.1%
福岡,645,9400,6.9%
佐賀,42,1077,3.9%
長崎,17,2050,0.8%
熊本,47,3178,1.5%
大分,60,3175,1.9%
宮崎,17,1122,1.5%
鹿児島,10,1287,0.8%
沖縄,142,2155,6.6%
長崎船,148,623,23.8%
合計,14383,152029,9.3%
