都道府県名,陽性者数 検査人数,,%
北海道,1720,40089,4.3%
青森,33,1918,1.7%
岩手,12,2698,0.4%
宮城,192,7491,2.6%
秋田,46,1700,2.7%
山形,77,3076,2.5%
福島,134,13363,1.0%
茨城,512,10111,5.1%
栃木,289,20367,1.4%
群馬,392,12567,3.1%
埼玉,3627,99813,3.6%
千葉,2834,51262,5.5%
東京,19610,295391,6.6%
神奈川,4516,104985,4.3%
新潟,139,11989,1.2%
富山,349,7142,4.9%
石川,585,6862,8.5%
福井,171,6604,2.6%
山梨,168,9247,1.8%
長野,185,12600,1.5%
岐阜,548,17057,3.2%
静岡,453,22806,2.0%
愛知,4230,47890,8.8%
三重,353,9004,3.9%
滋賀,415,8195,5.1%
京都,1326,28472,4.7%
大阪,8020,123706,6.5%
兵庫,2137,40919,5.2%
奈良,498,12714,3.9%
和歌山,227,8369,2.7%
鳥取,22,4486,0.5%
島根,136,4653,2.9%
岡山,142,5880,2.4%
広島,452,17047,2.7%
山口,120,5909,2.0%
徳島,111,4993,2.2%
香川,74,7369,1.0%
愛媛,114,3711,3.1%
高知,109,2767,3.9%
福岡,4169,38336,10.9%
佐賀,225,4629,4.9%
長崎,205,12961,1.6%
熊本,478,10395,4.6%
大分,140,11162,1.3%
宮崎,325,7739,4.2%
鹿児島,348,14575,2.4%
沖縄,1943,23549,8.3%
長崎船,149,0,-
合計,63060,1218568,5.2%
