都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,1720,40089,141,2,1476,103
青 森,33,1918,0,0,32,1
岩手,12,2698,5,0,7,0
宮城,192,7491,8,0,182,2
秋  田,46,1700,5,0,40,0
山形,77,3076,1,0,76,1
福島,134,13363,36,0,98,0
茨城,512,10111,72,2,428,12
栃木,289,20367,25,4,264,1
群馬,392,12567,113,0,260,19
埼玉,3627,99813,546,12,2995,86
千葉,2834,51262,451,9,2323,60
東京,19610,295391,2895,34,16361,354
神奈川,4516,104985,578,20,3826,112
新潟,139,11989,11,0,128,0
富山,349,7142,67,3,263,23
石川,585,6862,156,2,398,31
福井,171,6604,18,0,145,8
山梨,168,9247,36,0,131,1
長野,185,12600,39,1,150,-
岐阜,548,17057,43,5,496,9
静岡,453,22806,57,2,395,1
愛知,4230,47890,1023,22,3150,57
三重,353,9004,91,2,256,2
滋賀,415,8195,98,1,313,4
京都,1326,28472,219,2,1086,21
大阪,8020,123706,1560,72,6320,134
兵庫,2137,40919,262,14,1826,49
奈良,498,12714,117,2,378,3
和歌山,227,8369,31,0,189,4
鳥取,22,4486,5,0,17,0
島根,136,4653,60,0,76,0
岡山,142,5880,16,-,110,-
広島,452,17047,26,0,423,3
山口,120,5909,44,1,76,0
徳島,111,4993,60,1,43,1
香川,74,7369,12,0,61,1
愛媛,114,3711,8,0,100,6
高知,109,2767,11,1,95,3
福岡,4169,38336,886,16,3232,51
佐賀,225,4629,36,0,189,0
長崎,205,12961,29,-,36,3
熊本,478,10395,81,2,382,7
大分,140,11162,43,0,96,1
宮崎,325,7739,74,0,251,1
鹿児島,348,14575,61,2,274,9
沖縄,1943,23549,491,12,1432,24
(その他),149,-,0,-,149,-
合計,63060,1218568,10647,246,51034,1208
