都道府県名,陽性者数 検査人数,,%
北海道,1960,53173,3.7%
青森,35,2282,1.5%
岩手,23,3860,0.6%
宮城,367,9738,3.8%
秋田,53,1964,2.7%
山形,78,5038,1.5%
福島,225,18429,1.2%
茨城,627,12026,5.2%
栃木,400,27909,1.4%
群馬,670,18959,3.5%
埼玉,4448,131305,3.4%
千葉,3651,74727,4.9%
東京,24306,411359,5.9%
神奈川,6403,138519,4.6%
新潟,165,14594,1.1%
富山,410,11364,3.6%
石川,756,11835,6.4%
福井,244,9502,2.6%
山梨,180,10263,1.8%
長野,303,17873,1.7%
岐阜,599,21238,2.8%
静岡,517,31367,1.6%
愛知,5103,69242,7.4%
三重,475,11898,4.0%
滋賀,479,11208,4.3%
京都,1659,38110,4.4%
大阪,10099,170643,5.9%
兵庫,2575,52677,4.9%
奈良,555,19076,2.9%
和歌山,236,9025,2.6%
鳥取,36,5355,0.7%
島根,137,5309,2.6%
岡山,148,7861,1.9%
広島,476,19573,2.4%
山口,195,8891,2.2%
徳島,147,6778,2.2%
香川,93,10083,0.9%
愛媛,114,3973,2.9%
高知,137,3403,4.0%
福岡,5004,46615,10.7%
佐賀,244,5690,4.3%
長崎,236,17290,1.4%
熊本,571,16066,3.6%
大分,158,15519,1.0%
宮崎,344,8455,4.1%
鹿児島,377,17562,2.1%
沖縄,2358,36091,6.5%
長崎船,149,0,-
合計,78525,1653717,4.7%
