都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2032,55324,111,1,1814,107
青 森,35,2348,0,0,34,1
岩手,23,4057,0,0,23,0
宮城,385,10041,62,0,321,2
秋  田,53,2094,2,0,51,0
山形,78,5098,2,1,76,1
福島,242,19374,40,1,200,2
茨城,637,12251,29,4,591,17
栃木,427,29463,68,1,355,1
群馬,698,20052,101,1,578,19
埼玉,4547,139050,266,7,4181,100
千葉,3784,85762,320,8,3394,70
東京,25113,436860,2163,29,22550,400
神奈川,6679,146306,532,25,6011,136
新潟,170,15085,20,0,150,0
富山,412,11651,7,0,380,25
石川,773,12490,56,0,671,46
福井,244,9671,3,2,229,10
山梨,180,10478,3,1,171,6
長野,303,18446,7,0,301,1
岐阜,616,22106,24,2,582,10
静岡,526,32717,13,1,512,1
愛知,5217,73369,353,14,4781,83
三重,489,12132,76,4,404,7
滋賀,490,11544,22,0,460,8
京都,1710,40610,67,1,1618,25
大阪,10399,178425,607,30,9582,201
兵庫,2636,54556,93,7,2484,59
奈良,562,19870,15,0,538,9
和歌山,238,9220,2,0,229,4
鳥取,36,5414,7,0,29,0
島根,140,5541,2,0,137,0
岡山,152,8110,1,-,147,-
広島,506,20198,26,1,467,3
山口,196,9386,5,1,189,2
徳島,147,6849,17,0,118,9
香川,93,10449,4,0,87,2
愛媛,114,4037,0,0,108,6
高知,137,3436,0,0,133,4
福岡,5017,47045,136,10,4786,95
佐賀,245,5814,3,0,244,0
長崎,236,17938,3,0,230,3
熊本,572,16276,7,0,557,8
大分,158,16413,3,0,153,2
宮崎,344,8534,2,0,342,1
鹿児島,400,18249,17,0,376,12
沖縄,2407,37958,149,8,2216,46
(その他),149,-,0,-,149,-
合計,80747,1742097,5446,160,73739,1544
