都道府県名,陽性者数 検査人数,,%
北海道,2032,55324,3.7%
青森,35,2348,1.5%
岩手,23,4057,0.6%
宮城,385,10041,3.8%
秋田,53,2094,2.5%
山形,78,5098,1.5%
福島,242,19374,1.2%
茨城,637,12251,5.2%
栃木,427,29463,1.4%
群馬,698,20052,3.5%
埼玉,4547,139050,3.3%
千葉,3784,85762,4.4%
東京,25113,436860,5.7%
神奈川,6679,146306,4.6%
新潟,170,15085,1.1%
富山,412,11651,3.5%
石川,773,12490,6.2%
福井,244,9671,2.5%
山梨,180,10478,1.7%
長野,303,18446,1.6%
岐阜,616,22106,2.8%
静岡,526,32717,1.6%
愛知,5217,73369,7.1%
三重,489,12132,4.0%
滋賀,490,11544,4.2%
京都,1710,40610,4.2%
大阪,10399,178425,5.8%
兵庫,2636,54556,4.8%
奈良,562,19870,2.8%
和歌山,238,9220,2.6%
鳥取,36,5414,0.7%
島根,140,5541,2.5%
岡山,152,8110,1.9%
広島,506,20198,2.5%
山口,196,9386,2.1%
徳島,147,6849,2.1%
香川,93,10449,0.9%
愛媛,114,4037,2.8%
高知,137,3436,4.0%
福岡,5017,47045,10.7%
佐賀,245,5814,4.2%
長崎,236,17938,1.3%
熊本,572,16276,3.5%
大分,158,16413,1.0%
宮崎,344,8534,4.0%
鹿児島,400,18249,2.2%
沖縄,2407,37958,6.3%
長崎船,149,0,-
合計,80747,1742097,4.6%
