都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1121,16024,150,13,881,90
青   森,27,888,0,0,26,1
岩    手,0,742,0,0,0,0
宮    城,88,3108,0,0,87,1
秋  田,16,951,0,0,16,0
山    形,69,2454,2,1,67,0
福    島,81,5033,3,0,78,0
茨    城,168,4866,3,0,155,10
栃    木,66,4886,6,0,61,0
群    馬,151,3973,7,1,125,19
埼    玉,1007,23877,36,4,920,51
千    葉,907,15658,21,4,841,45
東    京,5396,16026,369,24,4716,311
神 奈 川,1397,10601,129,13,1181,87
新    潟,83,4392,1,0,81,0
富    山,227,3531,6,0,199,22
石    川,299,2798,34,2,238,27
福    井,122,2839,1,1,113,8
山    梨,67,4434,3,0,63,1
長    野,76,2889,5,0,71,-
岐    阜,152,3891,3,1,142,7
静    岡,75,3619,1,0,73,1
愛    知,511,10701,9,0,463,34
三    重,45,2579,0,0,44,1
滋    賀,100,1970,2,1,97,1
京    都,359,8608,9,0,332,18
大    阪,1784,33273,68,15,1628,84
兵    庫,699,11588,5,4,652,42
奈    良,92,2898,1,0,89,2
和 歌 山,63,3790,0,0,60,3
鳥    取,3,1395,0,0,3,0
島    根,24,1167,1,1,23,0
岡    山,25,1774,0,-,25,-
広    島,168,7264,2,0,163,3
山    口,37,1858,1,1,36,0
徳    島,5,782,0,0,4,1
香    川,28,2288,0,0,28,0
愛    媛,82,2462,12,0,66,4
高    知,74,1848,0,0,71,3
福    岡,802,14317,133,5,642,27
佐    賀,47,1487,0,0,45,0
長    崎,17,2925,0,0,16,1
熊    本,48,4033,1,0,44,3
大    分,60,4231,1,0,58,1
宮    崎,17,1434,0,0,17,0
鹿 児 島,10,2009,0,0,10,0
沖    縄,142,2908,2,1,137,7
(その他),149,-,1,-,148,-
合計,16986,267069,1028,92,15035,916
