都道府県名,陽性者数 検査人数,,%
北海道,1866,49239,3.8%
青森,35,2206,1.6%
岩手,23,3610,0.6%
宮城,290,8765,3.3%
秋田,50,1855,2.7%
山形,78,3148,2.5%
福島,204,16925,1.2%
茨城,609,11550,5.3%
栃木,338,25518,1.3%
群馬,541,16995,3.2%
埼玉,4264,123265,3.5%
千葉,3385,66251,5.1%
東京,22857,380646,6.0%
神奈川,5891,128296,4.6%
新潟,148,13835,1.1%
富山,408,10832,3.8%
石川,730,10587,6.9%
福井,244,9215,2.6%
山梨,179,9977,1.8%
長野,296,17030,1.7%
岐阜,580,19819,2.9%
静岡,504,29710,1.7%
愛知,4835,62057,7.8%
三重,457,11156,4.1%
滋賀,471,10451,4.5%
京都,1607,35638,4.5%
大阪,9527,157124,6.1%
兵庫,2435,49171,5.0%
奈良,545,18233,3.0%
和歌山,236,8898,2.7%
鳥取,23,4615,0.5%
島根,137,5186,2.6%
岡山,146,7511,1.9%
広島,464,18642,2.5%
山口,194,8068,2.4%
徳島,147,6595,2.2%
香川,87,9272,0.9%
愛媛,114,3921,2.9%
高知,137,3303,4.1%
福岡,4932,44529,11.1%
佐賀,244,5508,4.4%
長崎,235,16363,1.4%
熊本,568,12903,4.4%
大分,158,14477,1.1%
宮崎,340,8279,4.1%
鹿児島,372,17075,2.2%
沖縄,2280,31694,7.2%
長崎船,149,0,-
合計,74360,1529943,4.9%
