都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,41466,787474,708,23,39388,1405
青森,2520,51214,63,0,2426,31
岩手,1713,87030,64,1,1602,47
宮城,9187,158278,92,4,8995,90
秋田,907,15564,99,1,788,20
山形,2028,66016,16,1,1965,47
福島,4962,283651,157,3,4644,161
茨城,10651,33467,246,5,10240,165
栃木,7120,306285,247,7,6791,82
群馬,8051,194942,45,5,7854,152
埼玉,46944,978027,1202,21,44910,832
千葉,40889,698007,1216,17,38963,710
東京,176501,2543617,5065,51,169197,2239
神奈川,68312,1047212,1818,37,65542,952
新潟,3423,173306,45,2,3326,52
富山,2042,74335,16,1,1988,38
石川,3954,124083,34,1,3801,115
福井,1327,69860,139,0,1153,35
山梨,2106,58651,82,1,2004,21
長野,5039,208048,48,0,4975,91
岐阜,9466,272888,74,4,9205,187
静岡,9395,407868,282,6,8961,152
愛知,51161,835239,634,17,49556,971
三重,5279,145510,78,4,5228,112
滋賀,5571,153346,64,4,5417,90
京都,16661,286512,142,7,16255,246
大阪,103850,2185473,1229,148,99147,2680
兵庫,41005,512406,253,19,39444,1308
奈良,8378,170318,174,6,8073,131
和歌山,2693,42128,22,2,2564,49
鳥取,491,84118,18,0,457,2
島根,553,31436,3,1,549,1
岡山,7596,165308,25,4,7439,126
広島,11526,553751,100,12,11239,175
山口,3159,122050,54,1,3025,80
徳島,1657,65393,3,0,1591,63
香川,2100,86905,16,1,2058,31
愛媛,2755,97164,5,3,2675,75
高知,1851,11563,81,9,1744,26
福岡,35639,839693,357,12,34732,522
佐賀,2565,57575,16,0,2561,24
長崎,3216,126322,88,0,3060,69
熊本,6486,82317,60,3,6308,118
大分,3494,170404,15,0,3415,64
宮崎,3099,44507,20,0,3028,27
鹿児島,3698,112032,59,2,3636,38
沖縄,21017,253685,925,45,19907,191
(その他),149,-,0,-,149,-
合計,803652,15874978,16199,491,771975,14843
