都道府県名,陽性者数 検査人数,,%
北海道,41466,787474,5.3%
青森,2520,51214,4.9%
岩手,1713,87030,2.0%
宮城,9187,158278,5.8%
秋田,907,15564,5.8%
山形,2028,66016,3.1%
福島,4962,283651,1.7%
茨城,10651,33467,31.8%
栃木,7120,306285,2.3%
群馬,8051,194942,4.1%
埼玉,46944,978027,4.8%
千葉,40889,698007,5.9%
東京,176501,2543617,6.9%
神奈川,68312,1047212,6.5%
新潟,3423,173306,2.0%
富山,2042,74335,2.7%
石川,3954,124083,3.2%
福井,1327,69860,1.9%
山梨,2106,58651,3.6%
長野,5039,208048,2.4%
岐阜,9466,272888,3.5%
静岡,9395,407868,2.3%
愛知,51161,835239,6.1%
三重,5279,145510,3.6%
滋賀,5571,153346,3.6%
京都,16661,286512,5.8%
大阪,103850,2185473,4.8%
兵庫,41005,512406,8.0%
奈良,8378,170318,4.9%
和歌山,2693,42128,6.4%
鳥取,491,84118,0.6%
島根,553,31436,1.8%
岡山,7596,165308,4.6%
広島,11526,553751,2.1%
山口,3159,122050,2.6%
徳島,1657,65393,2.5%
香川,2100,86905,2.4%
愛媛,2755,97164,2.8%
高知,1851,11563,16.0%
福岡,35639,839693,4.2%
佐賀,2565,57575,4.5%
長崎,3216,126322,2.5%
熊本,6486,82317,7.9%
大分,3494,170404,2.1%
宮崎,3099,44507,7.0%
鹿児島,3698,112032,3.3%
沖縄,21017,253685,8.3%
長崎船,149,0,-
合計,803652,15874978,5.1%
