都道府県名,陽性者数 検査人数,,%
北海道,18130,338724,5.4%
青森,744,15573,4.8%
岩手,514,21264,2.4%
宮城,3477,49419,7.0%
秋田,269,6876,3.9%
山形,526,16088,3.3%
福島,1781,92681,1.9%
茨城,5173,24059,21.5%
栃木,3884,114354,3.4%
群馬,4128,79999,5.2%
埼玉,26832,485244,5.5%
千葉,23891,347026,6.9%
東京,104121,1385519,7.5%
神奈川,42402,526690,8.1%
新潟,955,38315,2.5%
富山,881,32546,2.7%
石川,1570,43532,3.6%
福井,522,27997,1.9%
山梨,913,14741,6.2%
長野,2338,88511,2.6%
岐阜,4459,112236,4.0%
静岡,4753,157701,3.0%
愛知,24695,340660,7.2%
三重,2336,52085,4.5%
滋賀,2251,62205,3.6%
京都,8750,139714,6.3%
大阪,45195,690318,6.5%
兵庫,17132,216367,7.9%
奈良,3208,73364,4.4%
和歌山,1111,22722,4.9%
鳥取,207,36319,0.6%
島根,276,13515,2.0%
岡山,2409,55878,4.3%
広島,4890,120841,4.0%
山口,1308,49814,2.6%
徳島,395,22979,1.7%
香川,702,40184,1.7%
愛媛,1017,27709,3.7%
高知,863,6968,12.4%
福岡,16835,391222,4.3%
佐賀,981,25206,3.9%
長崎,1563,60530,2.6%
熊本,3385,55073,6.1%
大分,1233,69123,1.8%
宮崎,1883,24223,7.8%
鹿児島,1665,59189,2.8%
沖縄,7882,132962,5.9%
長崎船,149,0,-
合計,404584,6808265,5.9%
