都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,2229,60894,174,0,1948,107
青 森,37,2551,1,0,35,1
岩手,24,4461,1,0,23,0
宮城,441,11052,45,1,394,2
秋  田,58,2296,5,0,53,0
山形,78,5236,1,0,76,1
福島,279,21710,44,3,231,4
茨城,693,12738,49,5,627,17
栃木,443,32634,25,0,418,1
群馬,735,23865,36,3,678,19
埼玉,4879,150073,333,6,4444,102
千葉,4154,100478,338,12,3744,72
東京,26869,489967,1868,24,24585,416
神奈川,7266,163313,491,18,6630,145
新潟,171,15966,3,0,168,0
富山,422,12961,9,1,387,26
石川,778,13948,23,0,708,47
福井,247,9952,3,0,233,11
山梨,196,10900,13,1,177,6
長野,316,19797,11,0,304,1
岐阜,631,23733,17,2,604,10
静岡,564,36658,35,1,527,2
愛知,5463,81271,289,12,5085,89
三重,532,13597,53,2,472,7
滋賀,508,12499,15,0,485,8
京都,1796,44728,61,2,1708,27
大阪,10950,195213,451,22,10266,221
兵庫,2822,59199,122,11,2641,59
奈良,583,21662,18,0,556,9
和歌山,242,9473,2,0,233,4
鳥取,36,5510,4,0,32,0
島根,140,5875,0,0,140,0
岡山,161,8654,8,-,149,-
広島,612,21623,83,1,522,3
山口,206,10250,7,1,197,2
徳島,149,7041,5,0,131,9
香川,93,11253,1,0,90,2
愛媛,115,4157,1,0,108,6
高知,138,3519,0,0,134,4
福岡,5061,139681,68,6,4894,99
佐賀,248,6231,3,0,247,0
長崎,238,19379,1,0,233,3
熊本,642,17067,56,0,570,8
大分,158,17693,1,0,155,2
宮崎,344,8649,1,0,343,1
鹿児島,440,19852,25,0,410,12
沖縄,2656,42120,256,9,2357,47
(その他),149,-,0,-,149,-
合計,85992,2011379,5056,143,79301,1612
