都道府県名,陽性者数 検査人数,,%
北海道,1039,12072,8.6%
青森,27,813,3.3%
岩手,0,602,0.0%
宮城,88,2835,3.1%
秋田,16,920,1.7%
山形,69,2620,2.6%
福島,81,3840,2.1%
茨城,168,4469,3.8%
栃木,64,3433,1.9%
群馬,149,3449,4.3%
埼玉,999,18197,5.5%
千葉,904,13872,6.5%
東京,5152,14653,35.2%
神奈川,1322,8780,15.1%
新潟,83,3994,2.1%
富山,227,3067,7.4%
石川,295,2612,11.3%
福井,122,2474,4.9%
山梨,60,3602,1.7%
⾧野,76,2589,2.9%
岐阜,150,3195,4.7%
静岡,75,3423,2.2%
愛知,506,9525,5.3%
三重,45,2456,1.8%
滋賀,100,1718,5.8%
京都,358,7493,4.8%
大阪,1781,28565,6.2%
兵庫,699,10688,6.5%
奈良,91,2754,3.3%
和歌山,63,3624,1.7%
鳥取,3,1301,0.2%
島根,24,1083,2.2%
岡山,25,1646,1.5%
広島,167,6696,2.5%
山口,37,1656,2.2%
徳島,5,708,0.7%
香川,28,2094,1.3%
愛媛,80,1912,4.2%
高知,74,1749,4.2%
福岡,662,11819,5.6%
佐賀,47,1377,3.4%
⾧崎,17,2655,0.6%
熊本,48,3851,1.2%
大分,60,3836,1.6%
宮崎,17,1339,1.3%
鹿児島,10,1685,0.6%
沖縄,142,2821,5.0%
⾧崎船,149  -,,-
合計,16404,230562,7.1%
