都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1039,12072,234,15,726,79
青   森,27,813,2,0,24,1
岩    手,0,602,0,0,0,0
宮    城,88,2835,1,0,86,1
秋  田,16,920,0,0,16,0
山    形,69,2620,5,1,64,0
福    島,81,3840,10,0,71,0
茨    城,168,4469,14,0,145,9
栃    木,64,3433,15,5,47,0
群    馬,149,3449,22,1,108,19
埼    玉,999,18197,101,6,852,46
千    葉,904,13872,95,6,765,44
東    京,5152,14653,633,41,4239,280
神 奈 川,1322,8780,286,30,965,71
新    潟,83,3994,13,0,69,0
富    山,227,3067,28,0,178,21
石    川,295,2612,61,3,210,24
福    井,122,2474,5,2,109,8
山    梨,60,3602,4,1,56,0
⾧    野,76,2589,16,1,60,-
岐    阜,150,3195,5,1,138,7
静    岡,75,3423,4,1,70,1
愛    知,506,9525,26,0,442,34
三    重,45,2456,4,0,40,1
滋    賀,100,1718,12,1,87,1
京    都,358,7493,35,3,309,14
大    阪,1781,28565,243,24,1449,78
兵    庫,699,10688,50,11,609,40
奈    良,91,2754,7,0,82,2
和 歌 山,63,3624,6,0,54,3
鳥    取,3,1301,1,0,2,0
島    根,24,1083,4,1,20,0
岡    山,25,1646,0,-,25,-
広    島,167,6696,22,1,143,2
山    口,37,1656,3,1,34,0
徳    島,5,708,0,0,4,1
香    川,28,2094,0,0,28,0
愛    媛,80,1912,31,0,45,4
高    知,74,1749,2,0,69,3
福    岡,662,11819,44,5,593,25
佐    賀,47,1377,12,0,33,0
⾧    崎,17,2655,0,0,16,1
熊    本,48,3851,8,0,37,3
大    分,60,3836,2,0,57,1
宮    崎,17,1339,2,0,15,0
鹿 児 島,10,1685,1,0,9,0
沖    縄,142,2821,6,4,133,6
(その他),149,-,36,-,113,-
合計,16404,230562,2111,165,13446,830
