都道府県名,陽性者数,検査人数,%
北海道,688,6312,10.9%
青森,26,598,4.3%
岩手,0,314,0.0%
宮城,87,1744,5.0%
秋田,16,827,1.9%
山形,66,2103,3.1%
福島,70,1664,4.2%
茨城,162,4473,3.6%
栃木,54,1857,2.9%
群馬,146,2596,5.6%
埼玉,828,7007,11.8%
千葉,801,5636,13.4%
東京,4073,10702,38.1%
神奈川,975,5536,16.3%
新潟,75,2775,2.7%
富山,190,2137,8.9%
石川,245,1796,13.6%
福井,122,1588,7.7%
山梨,52,2117,2.5%
長野,66,1703,3.9%
岐阜,146,2362,6.2%
静岡,67,2635,2.5%
愛知,482,7027,6.9%
三重,45,1835,2.5%
滋賀,94,1246,7.5%
京都,313,3950,7.9%
大阪,1555,7799,18.3%
兵庫,636,7063,9.0%
奈良,80,1397,5.7%
和歌山,60,2904,2.1%
鳥取,3,1003,0.3%
島根,23,797,2.9%
岡山,22,1141,1.9%
広島,149,4610,3.2%
山口,32,1239,2.6%
徳島,5,440,1.1%
香川,28,1537,1.8%
愛媛,47,1043,4.5%
高知,73,1368,5.3%
福岡,619,8721,7.1%
佐賀,37,930,4.0%
長崎,16,1911,0.8%
熊本,45,3002,1.5%
大分,60,3065,2.0%
宮崎,17,1068,1.6%
鹿児島,10,1199,0.8%
沖縄,141,1918,7.4%
長崎船,148,,
合計,13695,136695,9.8%
