都道府県名,陽性者数 検査人数,,%
北海道,13055,231206,5.6%
青森,438,9291,4.7%
岩手,379,13759,2.8%
宮城,2069,24174,8.6%
秋田,125,4565,2.7%
山形,369,10097,3.7%
福島,896,55946,1.6%
茨城,2338,18572,12.6%
栃木,1266,70920,1.8%
群馬,2193,51715,4.2%
埼玉,13424,312054,4.3%
千葉,10393,222862,4.7%
東京,57040,975031,5.9%
神奈川,19849,342311,5.8%
新潟,505,27279,1.9%
富山,542,21742,2.5%
石川,1040,29071,3.6%
福井,348,18822,1.8%
山梨,525,14459,3.6%
長野,1129,46746,2.4%
岐阜,2068,63198,3.3%
静岡,2580,88334,2.9%
愛知,15664,199918,7.8%
三重,1237,29023,4.3%
滋賀,1101,36649,3.0%
京都,4455,90765,4.9%
大阪,29077,449377,6.5%
兵庫,9324,134198,6.9%
奈良,1912,47698,4.0%
和歌山,598,16309,3.7%
鳥取,95,23602,0.4%
島根,205,9344,2.2%
岡山,1285,31723,4.1%
広島,3010,73605,4.1%
山口,537,26760,2.0%
徳島,195,15074,1.3%
香川,288,23368,1.2%
愛媛,431,12200,3.5%
高知,634,5782,11.0%
福岡,8292,258021,3.2%
佐賀,450,14638,3.1%
長崎,457,38000,1.2%
熊本,1739,34504,5.0%
大分,639,40729,1.6%
宮崎,715,12454,5.7%
鹿児島,966,37656,2.6%
沖縄,5220,87774,5.9%
長崎船,149,0,-
合計,221246,4401325,5.0%
