都道府県名,陽性者数 検査人数,,%
北海道,2590,71450,3.6%
青森,138,3404,4.1%
,26,4984,0.5%
宮城,538,12525,4.3%
秋田,61,2399,2.5%
山形,81,5608,1.4%
福島,374,26071,1.4%
茨城,731,13484,5.4%
栃木,473,34761,1.4%
群馬,806,26941,3.0%
埼玉,5476,170524,3.2%
千葉,4637,114416,4.1%
東京,29335,552912,5.3%
神奈川,8100,182851,4.4%
新潟,180,17092,1.1%
富山,422,14157,3.0%
石川,795,15695,5.1%
福井,256,10717,2.4%
山梨,199,11301,1.8%
⾧野,327,21561,1.5%
岐阜,651,25391,2.6%
静岡,583,40201,1.5%
,5713,91443,6.2%
三重,551,14854,3.7%
滋賀,531,13450,3.9%
京都,1934,49696,3.9%
大阪,11702,217762,5.4%
,3027,64611,4.7%
奈良,618,23550,2.6%
和歌山,260,10021,2.6%
鳥取,35,5567,0.6%
島根,140,6066,2.3%
岡山,185,8654,2.1%
広島,651,26180,2.5%
山口,210,11214,1.9%
徳島,163,7304,2.2%
香川,99,12691,0.8%
愛媛,116,4274,2.7%
高知,140,3591,3.9%
,5153,154248,3.3%
佐賀,253,6774,3.7%
⾧崎,242,21126,1.1%
熊本,754,18644,4.0%
大分,159,19633,0.8%
宮崎,366,8729,4.2%
鹿児島,463,21588,2.1%
沖縄,3012,49145,6.1%
⾧崎船,149,0,-
合計,93405,2249260,4.2%
