都道府県名,陽性者数 検査人数,,%
北海道,1018,11072,9.2%
青森,27,808,3.3%
岩手,0,561,0.0%
宮城,88,2616,3.4%
秋田,16,914,1.8%
山形,69,2588,2.7%
福島,81,3455,2.3%
茨城,168,4385,3.8%
栃木,62,3024,2.1%
群馬,148,3368,4.4%
埼玉,996,17335,5.7%
千葉,901,13155,6.8%
東京,5075,14512,35.0%
神奈川,1302,8483,15.3%
新潟,83,3874,2.1%
富山,227,3025,7.5%
石川,290,2543,11.4%
福井,122,2373,5.1%
山梨,60,3483,1.7%
⾧野,76,2492,3.0%
岐阜,150,3115,4.8%
静岡,73,3332,2.2%
愛知,506,9368,5.4%
三重,45,2367,1.9%
滋賀,99,1649,6.0%
京都,358,7228,5.0%
大阪,1774,26485,6.7%
兵庫,699,10312,6.8%
奈良,91,2754,3.3%
和歌山,63,3573,1.8%
鳥取,3,1269,0.2%
島根,24,1052,2.3%
岡山,25,1589,1.6%
広島,166,6599,2.5%
山口,37,1640,2.3%
徳島,5,684,0.7%
香川,28,2023,1.4%
愛媛,74,1781,4.2%
高知,74,1703,4.3%
福岡,658,11578,5.7%
佐賀,47,1354,3.5%
⾧崎,17,2587,0.7%
熊本,48,3778,1.3%
大分,60,3761,1.6%
宮崎,17,1324,1.3%
鹿児島,10,1653,0.6%
沖縄,142,2773,5.1%
⾧崎船,149  -,,-
合計,16251,221397,7.3%
