都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1018,11072,299,18,642,77
青   森,27,808,5,0,21,1
岩    手,0,561,0,0,0,0
宮    城,88,2616,1,0,86,1
秋  田,16,914,0,0,16,0
山    形,69,2588,11,2,58,0
福    島,81,3455,13,1,68,0
茨    城,168,4385,22,1,137,9
栃    木,62,3024,15,5,46,0
群    馬,148,3368,25,1,104,19
埼    玉,996,17335,138,4,812,46
千    葉,901,13155,122,10,737,42
東    京,5075,14512,887,44,3941,247
神 奈 川,1302,8483,301,29,933,68
新    潟,83,3874,15,0,67,0
富    山,227,3025,41,0,166,20
石    川,290,2543,73,3,195,22
福    井,122,2373,8,2,105,8
山    梨,60,3483,8,1,52,0
⾧    野,76,2492,21,1,55,-
岐    阜,150,3115,6,1,137,7
静    岡,73,3332,2,1,70,1
愛    知,506,9368,39,0,428,34
三    重,45,2367,5,0,39,1
滋    賀,99,1649,18,1,80,1
京    都,358,7228,41,4,303,14
大    阪,1774,26485,368,37,1323,71
兵    庫,699,10312,67,13,594,38
奈    良,91,2754,8,1,81,2
和 歌 山,63,3573,8,0,52,3
鳥    取,3,1269,1,0,2,0
島    根,24,1052,8,1,16,0
岡    山,25,1589,1,-,24,-
広    島,166,6599,43,1,121,2
山    口,37,1640,3,1,34,0
徳    島,5,684,0,0,4,1
香    川,28,2023,1,0,27,0
愛    媛,74,1781,27,1,44,3
高    知,74,1703,3,0,68,3
福    岡,658,11578,63,6,570,25
佐    賀,47,1354,14,0,31,0
⾧    崎,17,2587,0,0,16,1
熊    本,48,3778,10,1,35,3
大    分,60,3761,2,0,57,1
宮    崎,17,1324,3,0,14,0
鹿 児 島,10,1653,2,0,8,0
沖    縄,142,2773,8,4,130,6
(その他),149,-,5,-,106,-
合計,16251,221397,2761,195,12655,777
