都道府県名,陽性者数 検査人数,,%
北海道,35406,647012,5.5%
青森,2212,42034,5.3%
岩手,1365,70349,1.9%
宮城,8755,140716,6.2%
秋田,750,13553,5.5%
山形,1906,57266,3.3%
福島,4481,229004,2.0%
茨城,9478,32236,29.4%
栃木,6136,237567,2.6%
群馬,7638,162363,4.7%
埼玉,43034,855760,5.0%
千葉,36507,595492,6.1%
東京,157667,2234130,7.1%
神奈川,60175,905218,6.6%
新潟,3095,137150,2.3%
富山,1773,61152,2.9%
石川,3596,84830,4.2%
福井,1027,58113,1.8%
山梨,1480,41166,3.6%
長野,4664,172946,2.7%
岐阜,8421,229991,3.7%
静岡,8027,343167,2.3%
愛知,44803,669198,6.7%
三重,4744,116606,4.1%
滋賀,4856,123725,3.9%
京都,15449,247545,6.2%
大阪,98281,1746796,5.6%
兵庫,38945,445434,8.7%
奈良,7765,147637,5.3%
和歌山,2574,39375,6.5%
鳥取,459,71749,0.6%
島根,512,24335,2.1%
岡山,7029,108427,6.5%
広島,9871,400161,2.5%
山口,2790,98010,2.8%
徳島,1624,56924,2.9%
香川,1961,74651,2.6%
愛媛,2677,79836,3.4%
高知,1310,9119,14.4%
福岡,33116,725286,4.6%
佐賀,2438,47856,5.1%
長崎,2836,109018,2.6%
熊本,5982,76309,7.8%
大分,3231,140528,2.3%
宮崎,2992,40322,7.4%
鹿児島,3177,98108,3.2%
沖縄,15441,210922,7.3%
長崎船,149,0,-
合計,722605,13259092,5.4%
