都道府県名,陽性者数 検査人数,,%
北海道,5494,108980,5.0%
青森,279,6182,4.5%
,75,6491,1.2%
宮城,988,16359,6.0%
秋田,73,2872,2.5%
山形,98,7037,1.4%
福島,438,35528,1.2%
茨城,977,14972,6.5%
栃木,517,48552,1.1%
群馬,961,33002,2.9%
埼玉,6908,208239,3.3%
千葉,5858,146179,4.0%
東京,34931,673255,5.2%
神奈川,10216,225019,4.5%
新潟,226,19877,1.1%
富山,428,15472,2.8%
石川,830,19744,4.2%
福井,274,12283,2.2%
山梨,283,12678,2.2%
⾧野,471,26206,1.8%
岐阜,823,29514,2.8%
静岡,894,48984,1.8%
,7701,114785,6.7%
三重,621,17127,3.6%
滋賀,672,14966,4.5%
京都,2296,57297,4.0%
大阪,15494,272190,5.7%
,3974,78033,5.1%
奈良,858,28118,3.1%
和歌山,333,11350,2.9%
鳥取,52,6145,0.8%
島根,141,6354,2.2%
岡山,399,14762,2.7%
広島,701,30258,2.3%
山口,267,12510,2.1%
徳島,171,7665,2.2%
香川,115,15083,0.8%
愛媛,130,4643,2.8%
高知,144,3690,3.9%
,5387,180556,3.0%
佐賀,279,8136,3.4%
⾧崎,251,24657,1.0%
熊本,915,21896,4.2%
大分,168,23108,0.7%
宮崎,374,8836,4.2%
鹿児島,558,24895,2.2%
沖縄,3768,65248,5.8%
⾧崎船,149,0,-
合計,117960,2769733,4.3%
