都府 名,陽性者数 検査数,,%
北海道,1.803,45519,4.0%
青森,35,2087,1.7%
岩手,22,3.281,0.7%
宮城,214,8.023,2.7%
秋田,50,1.808,2.8%
山形,78,3122,2.5%
福島,172,15380,1.1%
茨城,559,10980,5.1%
栃木,307,23048,1.3%
群馬,463,15070,3.1%
埼玉,4055,112930,3.6%
千葉,3125,57427,5.4%
東京,21339,339844,6.3%
神奈川,5177,120358,4.3%
新潟,145,12.999,1.1%
富山,400,9.802,4.1%
石川,677,8.928,7.6%
福井,238,8.457,2.8%
山梨,173,9.651,1.8%
長野,280,15156,1.8%
岐阜,563,18548,3.0%
静岡,485,26523,1.8%
愛知,4.586,56018,8.2%
三重,383,10081,3.8%
滋賀,陽性者 検査数,,%
京都,458,9475,4.8%
大阪,1.493,32485,4.6%
兵庫,8826,140261,6.3%
奈良,2308,45700,5.1%
和歌山,526,15262,3.4%
鳥取,231,8699,2.7%
島根,22,4.574,0.5%
岡山,137,4.936,2.8%
広島,146,7049,2.1%
山口,459,18083,2.5%
徳島,178,7.077,2.5%
香川,141,6107,2.3%
愛媛,82,8521,1.0%
高知,114,3.847,3.0%
福岡,130,3159,4.1%
佐賀,4.685,41.767,11.2%
長崎,239,5212,4.6%
熊本,234,15149,1.5%
大分,534,11.756,4.5%
宮崎,151,13012,1.2%
鹿児島,338,8147,4.1%
沖縄,368,16129,2.3%
長崎船,2.172,25883,8.4%
その 他,149,0,-
合計,69.450|,1.387330,5.0%
