都道府県名,陽性者数 検査人数,,%
北海道,29345,584945,5.0%
青森,1926,37785,5.1%
岩手,1178,64488,1.8%
宮城,8490,128727,6.6%
秋田,669,12270,5.5%
山形,1681,51802,3.2%
福島,4153,207480,2.0%
茨城,8884,31283,28.4%
栃木,5782,227305,2.5%
群馬,7087,150903,4.7%
埼玉,41094,811836,5.1%
千葉,35211,578101,6.1%
東京,150925,2137999,7.1%
神奈川,57249,861075,6.6%
新潟,2773,123456,2.2%
富山,1465,55720,2.6%
石川,3129,77438,4.0%
福井,978,54216,1.8%
山梨,1376,36365,3.8%
長野,4228,158481,2.7%
岐阜,7327,210027,3.5%
静岡,7231,319923,2.3%
愛知,39009,609769,6.4%
三重,4361,109813,4.0%
滋賀,4408,114534,3.8%
京都,14232,232724,6.1%
大阪,93370,1611512,5.8%
兵庫,36671,417759,8.8%
奈良,7277,138260,5.3%
和歌山,2454,36777,6.7%
鳥取,423,67483,0.6%
島根,414,21314,1.9%
岡山,5780,108427,5.3%
広島,7736,321772,2.4%
山口,2337,92132,2.5%
徳島,1549,49860,3.1%
香川,1743,68950,2.5%
愛媛,2601,73470,3.5%
高知,1144,8642,13.2%
福岡,29216,668620,4.4%
佐賀,2169,44162,4.9%
長崎,2678,101836,2.6%
熊本,5116,70545,7.3%
大分,2768,128104,2.2%
宮崎,2764,36174,7.6%
鹿児島,2808,91183,3.1%
沖縄,13621,201879,6.7%
長崎船,149,0,-
合計,668979,12347326,5.4%
