都道府県名,陽性者数 検査人数,,%
北海道,22381,492852,4.5%
青森,1305,29291,4.5%
岩手,779,52283,1.5%
宮城,7580,110208,6.9%
秋田,367,9023,4.1%
山形,1331,41557,3.2%
福島,2985,170846,1.7%
茨城,7432,28311,26.3%
栃木,5068,189656,2.7%
群馬,5481,126060,4.3%
埼玉,35452,706528,5.0%
千葉,31608,514815,6.1%
東京,130083,1897539,6.9%
神奈川,50879,752210,6.8%
新潟,1939,95520,2.0%
富山,1144,45854,2.5%
石川,2182,65861,3.3%
福井,729,41663,1.7%
山梨,1057,33554,3.2%
長野,3505,132835,2.6%
岐阜,5350,174401,3.1%
静岡,6147,270275,2.3%
愛知,29987,508020,5.9%
三重,3174,86936,3.7%
滋賀,3204,97227,3.3%
京都,10616,192691,5.5%
大阪,67972,1246716,5.5%
兵庫,25334,339305,7.5%
奈良,5079,109994,4.6%
和歌山,1778,30171,5.9%
鳥取,334,56541,0.6%
島根,297,18895,1.6%
岡山,3214,84188,3.8%
広島,5406,201024,2.7%
山口,1553,74020,2.1%
徳島,903,37102,2.4%
香川,1061,57406,1.8%
愛媛,1955,51897,3.8%
高知,963,7581,12.7%
福岡,20132,550923,3.7%
佐賀,1337,34744,3.8%
長崎,1769,85369,2.1%
熊本,3591,59656,6.0%
大分,1378,101253,1.4%
宮崎,2043,27504,7.4%
鹿児島,1964,77595,2.5%
沖縄,11489,178411,6.4%
長崎船,149,0,-
合計,531466,10296311,5.2%
