都道府県名,陽性者数 検査人数,,%
北海道,10163,173120,5.9%
青森,345,7496,4.6%
岩手,224,10258,2.2%
宮城,1319,20230,6.5%
秋田,90,3733,2.4%
山形,186,8531,2.2%
福島,548,42464,1.3%
茨城,1878,17536,10.7%
栃木,782,57351,1.4%
群馬,1433,39971,3.6%
埼玉,9583,252336,3.8%
千葉,7599,175488,4.3%
東京,44355,816435,5.4%
神奈川,13855,272325,5.1%
新潟,363,23497,1.5%
富山,462,18199,2.5%
石川,879,23696,3.7%
福井,326,16140,2.0%
山梨,429,13914,3.1%
⾧野,838,34537,2.4%
岐阜,1300,45207,2.9%
静岡,1988,63637,3.1%
愛知,11438,143982,7.9%
三重,967,22079,4.4%
滋賀,832,29557,2.8%
京都,2884,70833,4.1%
大阪,22993,357109,6.4%
兵庫,6547,105709,6.2%
奈良,1351,36543,3.7%
和歌山,516,14303,3.6%
鳥取,65,18758,0.3%
島根,158,7158,2.2%
岡山,678,20802,3.3%
広島,1128,39067,2.9%
山口,418,19028,2.2%
徳島,186,13518,1.4%
香川,174,18512,0.9%
愛媛,352,8593,4.1%
高知,263,4223,6.2%
福岡,6125,214039,2.9%
佐賀,347,10755,3.2%
⾧崎,276,28610,1.0%
熊本,1111,26758,4.2%
大分,418,31001,1.3%
宮崎,568,10600,5.4%
鹿児島,701,28832,2.4%
沖縄,4613,76622,6.0%
⾧崎船,149,0,-
合計,164203,3493092,4.7%
