都道府県名,陽性者数 検査人数,,%
北海道,39938,718749,5.6%
青森,2440,47283,5.2%
岩手,1534,78252,2.0%
宮城,8995,149356,6.0%
秋田,761,14012,5.4%
山形,2000,61630,3.2%
福島,4677,254816,1.8%
茨城,9987,32877,30.4%
栃木,6571,269971,2.4%
群馬,7951,180909,4.4%
埼玉,44695,908060,4.9%
千葉,38005,634413,6.0%
東京,164724,2355781,7.0%
神奈川,63369,963783,6.6%
新潟,3315,152201,2.2%
富山,1943,67184,2.9%
石川,3855,103828,3.7%
福井,1058,60923,1.7%
山梨,1727,44960,3.8%
長野,4901,188081,2.6%
岐阜,9179,251069,3.7%
静岡,8722,368461,2.4%
愛知,49029,752745,6.5%
三重,5082,129213,3.9%
滋賀,5357,138026,3.9%
京都,16220,263858,6.1%
大阪,101276,1915472,5.3%
兵庫,40293,474921,8.5%
奈良,8037,157332,5.1%
和歌山,2641,40916,6.5%
鳥取,466,75308,0.6%
島根,548,27832,2.0%
岡山,7509,148791,5.0%
広島,11074,513008,2.2%
山口,3034,108624,2.8%
徳島,1636,60637,2.7%
香川,2048,80250,2.6%
愛媛,2734,89579,3.1%
高知,1626,10446,15.6%
福岡,34791,777067,4.5%
佐賀,2534,52119,4.9%
長崎,3017,115994,2.6%
熊本,6367,79845,8.0%
大分,3449,154300,2.2%
宮崎,3049,43551,7.0%
鹿児島,3535,106145,3.3%
沖縄,18936,229394,8.3%
長崎船,149,0,-
合計,764784,14451972,5.3%
