都道府県名,陽性者数 検査人数,,%
北海道,41032,757281,5.4%
青森,2453,49015,5.0%
岩手,1633,81973,2.0%
宮城,9068,153628,5.9%
秋田,776,14431,5.4%
山形,2020,64210,3.1%
福島,4785,270217,1.8%
茨城,10276,33068,31.1%
栃木,6806,279800,2.4%
群馬,8004,187878,4.3%
埼玉,45584,941020,4.8%
千葉,39258,660407,5.9%
東京,169321,2442971,6.9%
神奈川,65599,1005395,6.5%
新潟,3384,163093,2.1%
富山,2017,70813,2.8%
石川,3914,117918,3.3%
福井,1138,62888,1.8%
山梨,1981,50098,4.0%
長野,4978,196555,2.5%
岐阜,9371,261803,3.6%
静岡,9046,388700,2.3%
愛知,50444,800274,6.3%
三重,5191,137890,3.8%
滋賀,5496,145732,3.8%
京都,16466,275550,6.0%
大阪,102482,2049400,5.0%
兵庫,40718,493442,8.3%
奈良,8164,163391,5.0%
和歌山,2660,41378,6.4%
鳥取,466,80826,0.6%
島根,551,29236,1.9%
岡山,7580,158467,4.8%
広島,11394,534171,2.1%
山口,3111,116931,2.7%
徳島,1652,63111,2.6%
香川,2083,83415,2.5%
愛媛,2749,93801,2.9%
高知,1733,10929,15.9%
福岡,35238,807257,4.4%
佐賀,2546,54883,4.6%
長崎,3115,120797,2.6%
熊本,6440,81106,7.9%
大分,3486,162372,2.1%
宮崎,3067,43896,7.0%
鹿児島,3637,109435,3.3%
沖縄,20158,243438,8.3%
長崎船,149,0,-
合計,783220,15154290,5.2%
