都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,18944,373112,709,7,17586,667
青森,813,17189,38,0,755,20
岩手,553,24399,26,0,497,30
宮城,3576,66942,93,4,3458,25
秋田,269,7031,5,0,258,6
山形,538,17288,12,0,511,15
福島,1890,107545,89,9,1732,69
茨城,5669,24848,364,9,5200,105
栃木,4060,123380,165,7,3830,65
群馬,4416,90366,153,6,4179,84
埼玉,28920,537544,1538,38,26848,534
千葉,25892,392816,1718,20,23748,426
東京,110400,1503144,3503,69,105595,1302
神奈川,44371,577376,1116,32,42595,660
新潟,1052,42725,85,1,953,14
富山,905,35582,23,2,855,27
石川,1822,49100,176,6,1616,61
福井,544,31512,15,0,504,25
山梨,936,24827,13,2,908,16
長野,2359,96646,15,0,2334,41
岐阜,4700,129767,173,8,4419,108
静岡,5070,182775,247,1,4730,93
愛知,25696,382966,734,32,24448,514
三重,2574,60178,152,8,2370,52
滋賀,2424,71616,135,6,2245,44
京都,9032,152835,390,1,8506,154
大阪,46841,768670,1201,98,44121,1101
兵庫,17844,242054,534,50,16801,509
奈良,3344,80389,108,4,3191,45
和歌山,1161,24298,14,3,1105,18
鳥取,208,39894,2,0,201,2
島根,284,15115,6,0,278,0
岡山,2474,63400,89,3,2340,29
広島,5008,149875,66,5,4830,101
山口,1372,58758,69,0,1303,36
徳島,448,25819,35,1,397,16
香川,750,43774,38,1,694,18
愛媛,1056,31289,39,1,994,23
高知,884,7091,1,1,866,17
福岡,17890,433031,867,25,16748,275
佐賀,1032,27223,41,0,1004,8
長崎,1609,66146,38,1,1535,36
熊本,3438,56482,55,7,3299,72
大分,1288,77608,49,0,1218,21
宮崎,1949,24664,31,0,1890,21
鹿児島,1758,66588,65,3,1689,26
沖縄,8121,142879,278,1,7734,114
(その他),149,-,0,-,149,-
合計,426333,7568556,15313,472,403067,7645
