都道府県名,陽性者数 検査人数,,%
北海道,18944,373112,5.1%
青森,813,17189,4.7%
岩手,553,24399,2.3%
宮城,3576,66942,5.3%
秋田,269,7031,3.8%
山形,538,17288,3.1%
福島,1890,107545,1.8%
茨城,5669,24848,22.8%
栃木,4060,123380,3.3%
群馬,4416,90366,4.9%
埼玉,28920,537544,5.4%
千葉,25892,392816,6.6%
東京,110400,1503144,7.3%
神奈川,44371,577376,7.7%
新潟,1052,42725,2.5%
富山,905,35582,2.5%
石川,1822,49100,3.7%
福井,544,31512,1.7%
山梨,936,24827,3.8%
長野,2359,96646,2.4%
岐阜,4700,129767,3.6%
静岡,5070,182775,2.8%
愛知,25696,382966,6.7%
三重,2574,60178,4.3%
滋賀,2424,71616,3.4%
京都,9032,152835,5.9%
大阪,46841,768670,6.1%
兵庫,17844,242054,7.4%
奈良,3344,80389,4.2%
和歌山,1161,24298,4.8%
鳥取,208,39894,0.5%
島根,284,15115,1.9%
岡山,2474,63400,3.9%
広島,5008,149875,3.3%
山口,1372,58758,2.3%
徳島,448,25819,1.7%
香川,750,43774,1.7%
愛媛,1056,31289,3.4%
高知,884,7091,12.5%
福岡,17890,433031,4.1%
佐賀,1032,27223,3.8%
長崎,1609,66146,2.4%
熊本,3438,56482,6.1%
大分,1288,77608,1.7%
宮崎,1949,24664,7.9%
鹿児島,1758,66588,2.6%
沖縄,8121,142879,5.7%
長崎船,149,0,-
合計,426333,7568556,5.6%
