都道府県名,PCR検査,PCR検査,入院治療等を,,退院又は療養解除,死亡(累積)
北 海 道,1054,12285,239,15,734,81
青   森,27,824,2,0,24,1
岩    手,0,604,0,0,0,0
宮    城,88,2843,1,0,86,1
秋  田,16,927,0,0,16,0
山    形,69,2622,4,1,65,0
福    島,81,3883,10,0,71,0
茨    城,168,4534,14,0,145,9
栃    木,65,3465,17,4,47,0
群    馬,149,3462,18,1,112,19
埼    玉,999,18686,87,5,865,47
千    葉,904,13978,86,6,774,44
東    京,5160,14850,561,39,4311,288
神 奈 川,1333,8984,269,27,991,73
新    潟,83,4030,8,0,74,0
富    山,227,3101,26,0,180,21
石    川,295,2624,60,3,211,24
福    井,122,2476,5,2,109,8
山    梨,60,3720,2,0,57,1
⾧    野,76,2605,12,1,64,-
岐    阜,150,3387,4,1,139,7
静    岡,75,3423,4,1,70,1
愛    知,507,9726,26,0,442,34
三    重,45,2460,4,0,40,1
滋    賀,100,1721,10,1,89,1
京    都,358,7640,31,3,312,15
大    阪,1781,29006,212,25,1480,78
兵    庫,699,10720,46,10,613,40
奈    良,91,2754,7,0,82,2
和 歌 山,63,3630,6,3,54,3
鳥    取,3,1303,0,0,3,0
島    根,24,1084,4,1,20,0
岡    山,25,1646,0,-,25,-
広    島,167,6779,19,0,145,3
山    口,37,1657,2,1,35,0
徳    島,5,708,0,0,4,1
香    川,28,2099,0,0,28,0
愛    媛,81,1915,32,0,45,4
高    知,74,1749,2,0,69,3
福    岡,666,11849,45,5,596,25
佐    賀,47,1377,11,0,34,0
⾧    崎,17,2675,0,0,16,1
熊    本,48,3851,8,0,37,3
大    分,60,3847,2,0,57,1
宮    崎,17,1351,1,0,16,0
鹿 児 島,10,1713,1,0,9,0
沖    縄,142,2826,5 -,,134,6
(その他),149,-,36,-,113,-
合計,16445,233399,1939,155,13643,846
