都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,21433,463328,854,20,19797,764
青森,1119,26605,184,0,915,20
岩手,713,47379,119,0,564,30
宮城,6716,98132,1395,12,5285,36
秋田,311,7952,32,2,273,6
山形,1106,38147,238,2,851,17
福島,2699,158163,300,12,2282,117
茨城,6954,27153,302,2,6525,127
栃木,4825,178375,223,2,4508,70
群馬,5156,117956,203,4,4852,101
埼玉,33766,669909,1572,32,31485,709
千葉,30279,489361,1041,14,28657,581
東京,123905,1813266,3821,41,118295,1789
神奈川,48893,718132,992,23,47112,789
新潟,1620,88121,226,2,1376,18
富山,994,43059,68,0,897,29
石川,1987,61980,89,1,1831,65
福井,628,37904,65,1,536,27
山梨,996,32134,33,1,944,19
長野,3030,123848,266,0,2693,42
岐阜,5056,164797,162,3,4765,129
静岡,5871,257268,227,0,5525,119
愛知,27980,481186,999,6,26387,594
三重,2896,79034,232,2,2676,72
滋賀,2893,90248,175,3,2660,58
京都,9844,182629,459,4,9234,173
大阪,56626,1109497,6185,158,48766,1199
兵庫,21208,310281,1964,76,18648,596
奈良,4183,100693,568,7,3560,55
和歌山,1422,27787,189,8,1190,18
鳥取,281,51026,69,0,206,2
島根,289,18022,3,0,286,0
岡山,2804,81422,82,3,2575,36
広島,5221,182720,106,1,5003,106
山口,1443,68811,37,0,1363,43
徳島,624,33830,140,4,464,20
香川,947,53708,164,0,767,19
愛媛,1595,42675,447,4,1124,24
高知,937,7503,29,1,889,19
福岡,19211,522388,393,6,18485,333
佐賀,1240,33147,67,0,1179,13
長崎,1646,79565,19,0,1588,39
熊本,3530,58455,30,2,3426,74
大分,1328,95534,24,1,1282,22
宮崎,1966,24930,21,1,1924,22
鹿児島,1886,75119,67,0,1803,28
沖縄,10194,169174,963,3,9108,129
(その他),149,-,0,-,149,-
合計,490400,9642353,25844,464,454710,9298
