都道府県名,陽性者数 検査人数,,%
北海道,18987,374875,5.1%
青森,814,17200,4.7%
岩手,553,24595,2.2%
宮城,3581,66964,5.3%
秋田,269,7032,3.8%
山形,542,17326,3.1%
福島,1898,108764,1.7%
茨城,5682,24855,22.9%
栃木,4073,123442,3.3%
群馬,4422,91052,4.9%
埼玉,29031,541493,5.4%
千葉,25999,401269,6.5%
東京,110740,1513188,7.3%
神奈川,44490,583712,7.6%
新潟,1055,43116,2.4%
富山,905,35869,2.5%
石川,1830,49879,3.7%
福井,544,31630,1.7%
山梨,939,24827,3.8%
長野,2359,97192,2.4%
岐阜,4708,131564,3.6%
静岡,5082,185615,2.7%
愛知,25696,386708,6.6%
三重,2501,60178,4.2%
滋賀,2432,72067,3.4%
京都,9039,154109,5.9%
大阪,46923,771543,6.1%
兵庫,17862,243868,7.3%
奈良,3350,81198,4.1%
和歌山,1161,24373,4.8%
鳥取,208,40189,0.5%
島根,284,15115,1.9%
岡山,2474,63400,3.9%
広島,5013,151415,3.3%
山口,1374,58758,2.3%
徳島,449,25972,1.7%
香川,750,43913,1.7%
愛媛,1058,31297,3.4%
高知,884,7091,12.5%
福岡,17916,436043,4.1%
佐賀,1044,27597,3.8%
長崎,1609,66646,2.4%
熊本,3438,56645,6.1%
大分,1289,78366,1.6%
宮崎,1951,24708,7.9%
鹿児島,1758,67053,2.6%
沖縄,8136,144079,5.6%
長崎船,149,0,-
合計,427251,7627790,5.6%
