都道府県名,陽性者数,PCR検査実施人数,入院治療等を要する者(人),,退院又は療養解除となった者の数(人),死亡(累積)(人)
北海道,20013,413527,701,4,18672,715
青森,877,22173,57,0,800,20
岩手,565,30213,10,0,525,30
宮城,4137,75895,375,4,3736,26
秋田,270,7194,2,0,262,6
山形,561,29610,22,0,524,15
福島,2211,128117,240,16,1874,97
茨城,6219,25292,283,4,5814,122
栃木,4305,157781,140,0,4096,69
群馬,4715,102718,120,2,4503,92
埼玉,31072,598686,1378,40,29018,676
千葉,28111,442572,1078,21,26513,520
東京,115884,1648040,2678,42,111601,1605
神奈川,46538,646160,939,23,44850,749
新潟,1196,46600,93,1,1087,16
富山,912,39129,9,2,875,28
石川,1887,56042,20,3,1803,62
福井,547,33668,3,0,519,25
山梨,953,28326,11,0,924,18
長野,2439,106507,62,0,2365,41
岐阜,4801,148096,63,8,4620,118
静岡,5429,222960,227,0,5097,105
愛知,26463,427593,489,17,25414,560
三重,2612,70180,82,4,2545,64
滋賀,2657,80226,146,6,2460,51
京都,9202,165293,157,1,8895,164
大阪,48459,899152,1017,61,45873,1158
兵庫,18507,271527,477,43,17464,566
奈良,3467,88594,72,5,3347,48
和歌山,1182,25163,14,2,1125,18
鳥取,210,44155,1,0,205,2
島根,285,16686,1,0,284,0
岡山,2588,72624,77,1,2441,34
広島,5066,169571,36,4,4927,103
山口,1393,62904,19,0,1331,43
徳島,464,28549,15,1,431,18
香川,769,47453,14,0,737,18
愛媛,1074,35168,15,1,1035,24
高知,909,7218,9,3,881,19
福岡,18523,476158,402,12,17805,316
佐賀,1144,30237,67,1,1088,10
長崎,1614,72105,2,0,1574,38
熊本,3474,57424,24,0,3379,74
大分,1299,86375,9,0,1268,22
宮崎,1953,24804,1,0,1923,22
鹿児島,1764,70027,8,1,1755,27
沖縄,8540,155117,299,2,8125,122
(その他),149,-,0,-,149,-
合計,447409,8493609,11964,335,426539,8676
