都道府県名,陽性者数 検査人数,,%
北海道,20013,413527,4.8%
青森,877,22173,4.0%
岩手,565,30213,1.9%
宮城,4137,75895,5.5%
秋田,270,7194,3.8%
山形,561,29610,1.9%
福島,2211,128117,1.7%
茨城,6219,25292,24.6%
栃木,4305,157781,2.7%
群馬,4715,102718,4.6%
埼玉,31072,598686,5.2%
千葉,28111,442572,6.4%
東京,115884,1648040,7.0%
神奈川,46538,646160,7.2%
新潟,1196,46600,2.6%
富山,912,39129,2.3%
石川,1887,56042,3.4%
福井,547,33668,1.6%
山梨,953,28326,3.4%
長野,2439,106507,2.3%
岐阜,4801,148096,3.2%
静岡,5429,222960,2.4%
愛知,26463,427593,6.2%
三重,2612,70180,3.7%
滋賀,2657,80226,3.3%
京都,9202,165293,5.6%
大阪,48459,899152,5.4%
兵庫,18507,271527,6.8%
奈良,3467,88594,3.9%
和歌山,1182,25163,4.7%
鳥取,210,44155,0.5%
島根,285,16686,1.7%
岡山,2588,72624,3.6%
広島,5066,169571,3.0%
山口,1393,62904,2.2%
徳島,464,28549,1.6%
香川,769,47453,1.6%
愛媛,1074,35168,3.1%
高知,909,7218,12.6%
福岡,18523,476158,3.9%
佐賀,1144,30237,3.8%
長崎,1614,72105,2.2%
熊本,3474,57424,6.0%
大分,1299,86375,1.5%
宮崎,1953,24804,7.9%
鹿児島,1764,70027,2.5%
沖縄,8540,155117,5.5%
長崎船,149,0,-
合計,447409,8493609,5.3%
