都道府県名,陽性者数 検査人数,,%
北海道,33318,625392,5.3%
青森,2128,40414,5.3%
岩手,1313,67468,1.9%
宮城,8698,133838,6.5%
秋田,733,12871,5.7%
山形,1820,55241,3.3%
福島,4399,223009,2.0%
茨城,9299,31981,29.1%
栃木,6029,234863,2.6%
群馬,7467,158529,4.7%
埼玉,42478,841323,5.0%
千葉,36117,590141,6.1%
東京,155648,2203520,7.1%
神奈川,59222,891644,6.6%
新潟,2981,132370,2.3%
富山,1643,59309,2.8%
石川,3381,81812,4.1%
福井,1012,56887,1.8%
山梨,1447,38972,3.7%
長野,4535,168365,2.7%
岐阜,8140,223301,3.6%
静岡,7753,334739,2.3%
愛知,42919,647212,6.6%
三重,4656,116606,4.0%
滋賀,4725,121405,3.9%
京都,15146,243862,6.2%
大阪,97058,1703135,5.7%
兵庫,38366,437193,8.8%
奈良,7666,145913,5.3%
和歌山,2542,38786,6.6%
鳥取,444,70130,0.6%
島根,489,24335,2.0%
岡山,6742,108427,6.2%
広島,9222,400161,2.3%
山口,2645,98010,2.7%
徳島,1606,55352,2.9%
香川,1901,73203,2.6%
愛媛,2657,78287,3.4%
高知,1215,8854,13.7%
福岡,32151,709261,4.5%
佐賀,2378,46547,5.1%
長崎,2810,107410,2.6%
熊本,5765,74682,7.7%
大分,3102,137277,2.3%
宮崎,2939,38919,7.6%
鹿児島,3072,95672,3.2%
沖縄,14694,208957,7.0%
長崎船,149,0,-
合計,706620,12995585,5.4%
