都道府県名,陽性者数 検査人数,,%
北海道,1323,24496,5.4%
青森,30,1201,2.5%
岩手,0,1224,0.0%
宮城,126,4914,2.6%
秋田,16,1032,1.6%
山形,75,2772,2.7%
福島,84,8368,1.0%
茨城,215,6066,3.5%
栃木,112,10326,1.1%
群馬,166,6443,2.6%
埼玉,1668,50480,3.3%
千葉,1223,21977,5.6%
東京,8933,134889,6.6%
神奈川,1919,15233,12.6%
新潟,89,5578,1.6%
富山,230,4533,5.1%
石川,301,2983,10.1%
福井,126,3844,3.3%
山梨,77,6427,1.2%
長野,83,5055,1.6%
岐阜,172,6398,2.7%
静岡,102,9608,1.1%
愛知,569,14781,3.8%
三重,55,3227,1.7%
滋賀,109,3177,3.4%
京都,490,13461,3.6%
大阪,2245,51997,4.3%
兵庫,777,18310,4.2%
奈良,143,5045,2.8%
和歌山,87,4864,1.8%
鳥取,5,2195,0.2%
島根,25,1536,1.6%
岡山,34,2140,1.6%
広島,198,8806,2.2%
山口,41,2913,1.4%
徳島,10,1314,0.8%
香川,42,3287,1.3%
愛媛,82,2707,3.0%
高知,76,2103,3.6%
福岡,953,18778,5.1%
佐賀,47,1766,2.7%
長崎,32,4519,0.7%
熊本,50,4527,1.1%
大分,60,5644,1.1%
宮崎,20,1770,1.1%
鹿児島,162,8156,2.0%
沖縄,149,3457,4.3%
長崎船,149,-,-
合計,23680,524327,4.5%
