都道府県名,陽性者数,検査人数,備考
北海道,176,1976,
青森県,7,132,
岩手県,0,50,
宮城県,2,188,
秋田県,4,211,
山形県,0,170,
福島県,2,182,
茨城県,16,770,
栃木県,12,377,
群馬県,18,243,
埼玉県,83,1105,
千葉県,160,237,
東京都,436,2269,
神奈川県,107,276,
新潟県,31,977,
富山県,0,72,
石川県,9,212,
福井県,13,154,
山梨県,4,428,
長野県,8,397,
岐阜県,21,428,
静岡県,4,665,
愛知県,167,2276,
三重県,9,408,
滋賀県,6,197,
京都府,46,1035,
大阪府,209,553,
兵庫県,132,2146,
奈良県,11,263,
和歌山県,17,1433,
鳥取県,0,146,
島根県,0,128,
岡山県,3,251,
広島県,6,831,
山口県,6,291,
徳島県,1,110,
香川県,1,212,
愛媛県,4,234,
高知県,14,353,
福岡県,22,853,
佐賀県,1,130,
長崎県,2,292,
熊本県,10,693,
大分県,28,1489,
宮崎県,3,242,
鹿児島県,1,219,
沖縄県,8,303,
合計,1820,26607,
